Eval Num,f(x),f(x*),Elapsed Time
1,-75.47,-75.47000122070312,0.004518270492553711
2,-63.75,-75.47000122070312,0.009274959564208984
3,-75.71,-75.70999908447266,0.01918792724609375
4,-84.06,-84.05999755859375,0.02657341957092285
5,-64.21,-84.05999755859375,0.03347158432006836
6,-67.11,-84.05999755859375,0.040276288986206055
7,-68.65,-84.05999755859375,0.047142744064331055
8,-86.22,-86.22000122070312,0.05469560623168945
9,-76.71,-86.22000122070312,0.06283903121948242
10,-67.34,-86.22000122070312,0.0697319507598877
11,-71.19,-86.22000122070312,0.07675933837890625
12,-70.33,-86.22000122070312,0.08468246459960938
13,-74.62,-86.22000122070312,0.09200429916381836
14,-69.08,-86.22000122070312,0.09940719604492188
15,-79.91,-86.22000122070312,0.10657262802124023
16,-73.42,-86.22000122070312,0.11408400535583496
17,-81.02,-86.22000122070312,0.12165164947509766
18,-68.35,-86.22000122070312,0.12906360626220703
19,-75.11,-86.22000122070312,0.13653874397277832
20,-67.22,-86.22000122070312,0.1428067684173584
21,-84.22,-86.22000122070312,29.13706946372986
22,-85.86,-86.22000122070312,34.01071047782898
23,-84.01,-86.22000122070312,38.96927285194397
24,-86.78,-86.77999877929688,44.59917616844177
25,-86.22,-86.77999877929688,49.816582679748535
26,-86.22,-86.77999877929688,54.736987352371216
27,-80.96,-86.77999877929688,60.14752244949341
28,-86.42,-86.77999877929688,65.21730399131775
29,-83.24,-86.77999877929688,69.95399975776672
30,-87.32,-87.31999969482422,75.19387531280518
31,-87.32,-87.31999969482422,80.02399921417236
32,-89.19,-89.19000244140625,84.9898669719696
33,-83.18,-89.19000244140625,90.23081016540527
34,-88.29,-89.19000244140625,95.1954939365387
35,-86.54,-89.19000244140625,100.53836846351624
36,-87.47,-89.19000244140625,105.84706687927246
37,-89.19,-89.19000244140625,110.47381162643433
38,-85.94,-89.19000244140625,115.6557948589325
39,-87.69,-89.19000244140625,120.74605512619019
40,-89.19,-89.19000244140625,125.5623927116394
41,-89.19,-89.19000244140625,130.46818614006042
42,-86.37,-89.19000244140625,135.9461464881897
43,-89.19,-89.19000244140625,141.02036905288696
44,-89.19,-89.19000244140625,145.788432598114
45,-89.0,-89.19000244140625,151.02186179161072
46,-89.19,-89.19000244140625,156.06172490119934
47,-86.07,-89.19000244140625,161.43135237693787
48,-90.86,-90.86000061035156,166.89407420158386
49,-89.19,-90.86000061035156,172.36470675468445
50,-80.17,-90.86000061035156,177.0665466785431
51,-90.5,-90.86000061035156,182.2410397529602
52,-88.86,-90.86000061035156,187.85657167434692
53,-91.82,-91.81999969482422,194.69871139526367
54,-91.16,-91.81999969482422,200.3781442642212
55,-96.03,-96.02999877929688,205.93080067634583
56,-91.37,-96.02999877929688,212.0625603199005
57,-94.14,-96.02999877929688,217.6714015007019
58,-91.73,-96.02999877929688,222.49525547027588
59,-93.25,-96.02999877929688,228.02694153785706
60,-96.15,-96.1500015258789,233.5912482738495
61,-95.31,-96.1500015258789,239.63345742225647
62,-95.19,-96.1500015258789,246.30180430412292
63,-101.69,-101.69000244140625,252.30524444580078
64,-101.69,-101.69000244140625,258.52855467796326
65,-101.69,-101.69000244140625,264.9852969646454
66,-96.15,-101.69000244140625,271.1447298526764
67,-101.57,-101.69000244140625,277.9581835269928
68,-98.44,-101.69000244140625,284.6989884376526
69,-72.44,-101.69000244140625,290.4714865684509
70,-101.57,-101.69000244140625,296.93196725845337
71,-101.69,-101.69000244140625,303.73106384277344
72,-94.45,-101.69000244140625,309.16787910461426
73,-101.69,-101.69000244140625,316.0794458389282
74,-99.26,-101.69000244140625,322.10555243492126
75,-101.69,-101.69000244140625,328.90861439704895
76,-101.69,-101.69000244140625,335.26745104789734
77,-79.45,-101.69000244140625,342.0292510986328
78,-101.69,-101.69000244140625,347.50369691848755
79,-101.57,-101.69000244140625,354.20590448379517
80,-101.69,-101.69000244140625,360.48789715766907
81,-101.69,-101.69000244140625,367.53768038749695
82,-101.69,-101.69000244140625,373.47717213630676
83,-101.69,-101.69000244140625,379.2966003417969
84,-101.69,-101.69000244140625,385.94253611564636
85,-101.69,-101.69000244140625,392.5130503177643
86,-101.69,-101.69000244140625,398.4746208190918
87,-101.69,-101.69000244140625,405.2193355560303
88,-101.69,-101.69000244140625,411.71009135246277
89,-101.69,-101.69000244140625,418.46761679649353
90,-101.69,-101.69000244140625,424.05088233947754
91,-101.69,-101.69000244140625,430.3558578491211
92,-101.69,-101.69000244140625,436.96441769599915
93,-83.69,-101.69000244140625,442.6699924468994
94,-99.28,-101.69000244140625,448.02700424194336
95,-97.31,-101.69000244140625,454.1222882270813
96,-93.55,-101.69000244140625,460.87435817718506
97,-68.79,-101.69000244140625,467.07766032218933
98,-97.36,-101.69000244140625,472.8822898864746
99,-101.57,-101.69000244140625,479.58393359184265
100,-101.69,-101.69000244140625,485.90645480155945
101,-95.54,-101.69000244140625,492.6555254459381
102,-97.0,-101.69000244140625,499.2516930103302
103,-101.69,-101.69000244140625,505.51937222480774
104,-101.69,-101.69000244140625,511.6837501525879
105,-101.69,-101.69000244140625,517.8948471546173
106,-75.5,-101.69000244140625,523.822114944458
107,-101.69,-101.69000244140625,530.6341938972473
108,-101.69,-101.69000244140625,536.9915969371796
109,-101.57,-101.69000244140625,543.4054751396179
110,-101.57,-101.69000244140625,550.0108773708344
111,-95.75,-101.69000244140625,556.6209073066711
112,-101.69,-101.69000244140625,562.8703122138977
113,-74.09,-101.69000244140625,568.3811223506927
114,-64.09,-101.69000244140625,573.5761346817017
115,-102.08,-102.08000183105469,579.7497913837433
116,-101.96,-102.08000183105469,586.4333610534668
117,-99.01,-102.08000183105469,593.0291981697083
118,-98.13,-102.08000183105469,599.0997588634491
119,-93.54,-102.08000183105469,605.9472332000732
120,-102.08,-102.08000183105469,612.6885015964508
121,-98.31,-102.08000183105469,618.8243961334229
122,-99.55,-102.08000183105469,625.1393086910248
123,-100.63,-102.08000183105469,630.6828329563141
124,-99.0,-102.08000183105469,637.6336405277252
125,-75.93,-102.08000183105469,644.1300039291382
126,-94.35,-102.08000183105469,650.0968463420868
127,-101.69,-102.08000183105469,656.664516210556
128,-94.43,-102.08000183105469,663.6779353618622
129,-100.51,-102.08000183105469,669.665524482727
130,-94.36,-102.08000183105469,675.6224980354309
