Eval Num,f(x),f(x*),Elapsed Time
1,-75.47,-75.47000122070312,0.005468130111694336
2,-63.75,-75.47000122070312,0.012653827667236328
3,-75.71,-75.70999908447266,0.019562721252441406
4,-84.06,-84.05999755859375,0.02648448944091797
5,-64.21,-84.05999755859375,0.03401756286621094
6,-67.11,-84.05999755859375,0.041558265686035156
7,-68.65,-84.05999755859375,0.04883432388305664
8,-86.22,-86.22000122070312,0.05629086494445801
9,-76.71,-86.22000122070312,0.06432795524597168
10,-67.34,-86.22000122070312,0.07124710083007812
11,-71.19,-86.22000122070312,0.07868146896362305
12,-70.33,-86.22000122070312,0.08598160743713379
13,-74.62,-86.22000122070312,0.09358406066894531
14,-69.08,-86.22000122070312,0.10042595863342285
15,-79.91,-86.22000122070312,0.10728001594543457
16,-73.42,-86.22000122070312,0.11473488807678223
17,-81.02,-86.22000122070312,0.12242388725280762
18,-68.35,-86.22000122070312,0.12990069389343262
19,-75.11,-86.22000122070312,0.13696527481079102
20,-67.22,-86.22000122070312,0.14435052871704102
21,-90.64,-90.63999938964844,27.49806308746338
22,-82.77,-90.63999938964844,30.317489624023438
23,-75.01,-90.63999938964844,33.07603907585144
24,-68.23,-90.63999938964844,35.94345188140869
25,-82.17,-90.63999938964844,38.799363136291504
26,-90.08,-90.63999938964844,41.60370707511902
27,-82.14,-90.63999938964844,44.33926701545715
28,-74.91,-90.63999938964844,47.110538959503174
29,-82.77,-90.63999938964844,49.89159107208252
30,-72.45,-90.63999938964844,52.724613666534424
31,-81.01,-90.63999938964844,55.51051616668701
32,-66.79,-90.63999938964844,58.30206894874573
33,-82.05,-90.63999938964844,61.12886190414429
34,-94.67,-94.66999816894531,63.91157412528992
35,-87.79,-94.66999816894531,66.83189702033997
36,-89.04,-94.66999816894531,69.78125166893005
37,-72.44,-94.66999816894531,72.53762030601501
38,-74.52,-94.66999816894531,75.29259419441223
39,-88.44,-94.66999816894531,78.1977653503418
40,-86.96,-94.66999816894531,81.03282380104065
41,-90.31,-94.66999816894531,83.89900922775269
42,-64.58,-94.66999816894531,86.74951887130737
43,-78.33,-94.66999816894531,89.6640796661377
44,-92.97,-94.66999816894531,92.43181657791138
45,-87.35,-94.66999816894531,95.23667240142822
46,-94.81,-94.80999755859375,98.0732524394989
47,-77.62,-94.80999755859375,100.91858744621277
48,-92.15,-94.80999755859375,103.64436054229736
49,-87.25,-94.80999755859375,106.45699405670166
50,-91.43,-94.80999755859375,109.23985815048218
51,-88.92,-94.80999755859375,112.10375809669495
52,-75.66,-94.80999755859375,114.9560694694519
53,-95.04,-95.04000091552734,117.64604234695435
54,-80.12,-95.04000091552734,120.42719388008118
55,-89.9,-95.04000091552734,123.23421883583069
56,-92.45,-95.04000091552734,126.03638243675232
57,-61.87,-95.04000091552734,128.74475860595703
58,-87.76,-95.04000091552734,131.59470987319946
59,-66.45,-95.04000091552734,134.44040322303772
60,-74.1,-95.04000091552734,137.1910035610199
61,-70.48,-95.04000091552734,140.1563220024109
62,-86.59,-95.04000091552734,143.00684714317322
63,-84.29,-95.04000091552734,145.96179175376892
64,-76.82,-95.04000091552734,148.81512832641602
65,-75.12,-95.04000091552734,151.6025390625
66,-84.68,-95.04000091552734,154.35826992988586
67,-89.72,-95.04000091552734,157.1252064704895
68,-89.86,-95.04000091552734,159.8234691619873
69,-90.96,-95.04000091552734,162.67597603797913
70,-92.27,-95.04000091552734,165.54310870170593
71,-95.04,-95.04000091552734,168.35932779312134
72,-91.66,-95.04000091552734,171.22454810142517
73,-93.15,-95.04000091552734,174.0030734539032
74,-94.2,-95.04000091552734,176.77085328102112
75,-81.34,-95.04000091552734,179.50753116607666
76,-86.19,-95.04000091552734,182.22884273529053
77,-89.58,-95.04000091552734,185.02112364768982
78,-74.23,-95.04000091552734,187.63505005836487
79,-78.29,-95.04000091552734,190.39323043823242
80,-93.37,-95.04000091552734,193.26071333885193
81,-97.53,-97.52999877929688,195.98764657974243
82,-77.56,-97.52999877929688,198.7162208557129
83,-97.25,-97.52999877929688,201.35180377960205
84,-79.42,-97.52999877929688,204.09663581848145
85,-68.58,-97.52999877929688,206.74696373939514
86,-87.85,-97.52999877929688,209.41461396217346
87,-96.47,-97.52999877929688,212.17240858078003
88,-101.02,-101.0199966430664,214.81179213523865
89,-101.02,-101.0199966430664,217.44532346725464
