Eval Num,f(x),f(x*),Elapsed Time
1,-75.47,-75.47000122070312,0.004726886749267578
2,-63.75,-75.47000122070312,0.011823177337646484
3,-75.71,-75.70999908447266,0.018950700759887695
4,-84.06,-84.05999755859375,0.026363134384155273
5,-64.21,-84.05999755859375,0.03409218788146973
6,-67.11,-84.05999755859375,0.042069196701049805
7,-68.65,-84.05999755859375,0.04897308349609375
8,-86.22,-86.22000122070312,0.052637577056884766
9,-76.71,-86.22000122070312,0.05707097053527832
10,-67.34,-86.22000122070312,0.06538748741149902
11,-71.19,-86.22000122070312,0.07315754890441895
12,-70.33,-86.22000122070312,0.08024740219116211
13,-74.62,-86.22000122070312,0.08755373954772949
14,-69.08,-86.22000122070312,0.09502935409545898
15,-79.91,-86.22000122070312,0.10208439826965332
16,-73.42,-86.22000122070312,0.10710382461547852
17,-81.02,-86.22000122070312,0.11517643928527832
18,-68.35,-86.22000122070312,0.12317943572998047
19,-75.11,-86.22000122070312,0.13551974296569824
20,-67.22,-86.22000122070312,0.14210867881774902
21,-85.0,-86.22000122070312,37.36108064651489
22,-78.62,-86.22000122070312,49.58279037475586
23,-76.74,-86.22000122070312,61.80564284324646
24,-77.79,-86.22000122070312,74.02409601211548
25,-80.28,-86.22000122070312,86.22897052764893
26,-86.22,-86.22000122070312,98.56821942329407
27,-85.86,-86.22000122070312,110.82575917243958
28,-64.72,-86.22000122070312,123.08892297744751
29,-86.22,-86.22000122070312,135.5425078868866
30,-82.74,-86.22000122070312,147.8546690940857
31,-85.82,-86.22000122070312,160.02019572257996
32,-89.08,-89.08000183105469,172.42511248588562
33,-93.02,-93.0199966430664,184.6481146812439
34,-95.24,-95.23999786376953,196.86556482315063
35,-95.75,-95.75,209.07995295524597
36,-91.58,-95.75,221.28651356697083
37,-88.56,-95.75,233.4779131412506
38,-96.06,-96.05999755859375,245.93941116333008
39,-96.51,-96.51000213623047,258.22274231910706
40,-78.18,-96.51000213623047,270.42835330963135
41,-94.29,-96.51000213623047,282.7388072013855
42,-72.99,-96.51000213623047,294.98354172706604
43,-94.79,-96.51000213623047,307.2297134399414
44,-89.17,-96.51000213623047,319.4888617992401
45,-96.51,-96.51000213623047,331.8114552497864
46,-86.25,-96.51000213623047,344.0316433906555
47,-99.56,-99.55999755859375,356.1029508113861
48,-92.38,-99.55999755859375,368.30010652542114
49,-96.29,-99.55999755859375,380.6123697757721
50,-98.93,-99.55999755859375,392.7821526527405
51,-95.38,-99.55999755859375,405.1298654079437
52,-97.27,-99.55999755859375,417.2647867202759
53,-98.32,-99.55999755859375,429.3149130344391
54,-90.23,-99.55999755859375,441.2683947086334
55,-67.19,-99.55999755859375,453.153475522995
56,-89.77,-99.55999755859375,465.20839977264404
57,-99.09,-99.55999755859375,477.31097984313965
58,-90.04,-99.55999755859375,489.43758511543274
59,-76.34,-99.55999755859375,501.42039132118225
60,-95.52,-99.55999755859375,513.4528114795685
61,-99.11,-99.55999755859375,525.3660182952881
62,-92.41,-99.55999755859375,537.3778350353241
63,-87.0,-99.55999755859375,549.6783888339996
64,-102.15,-102.1500015258789,561.8325264453888
65,-86.78,-102.1500015258789,573.9065868854523
66,-92.54,-102.1500015258789,585.9046680927277
67,-97.56,-102.1500015258789,597.9850633144379
68,-100.28,-102.1500015258789,609.8928420543671
69,-100.3,-102.1500015258789,622.0603351593018
70,-104.12,-104.12000274658203,634.2363793849945
71,-92.81,-104.12000274658203,646.1891498565674
72,-102.48,-104.12000274658203,657.9510676860809
73,-82.06,-104.12000274658203,669.8226552009583
74,-87.96,-104.12000274658203,681.7399306297302
75,-103.57,-104.12000274658203,694.1380748748779
76,-103.79,-104.12000274658203,706.0673360824585
77,-100.74,-104.12000274658203,718.0169730186462
78,-95.43,-104.12000274658203,729.9479520320892
79,-100.54,-104.12000274658203,741.9216117858887
80,-99.55,-104.12000274658203,753.906566619873
81,-86.08,-104.12000274658203,766.2289905548096
82,-104.12,-104.12000274658203,778.3177807331085
83,-82.1,-104.12000274658203,790.3523275852203
84,-104.12,-104.12000274658203,802.3015310764313
85,-89.62,-104.12000274658203,814.2497766017914
86,-97.81,-104.12000274658203,826.1885185241699
87,-83.6,-104.12000274658203,838.2044730186462
88,-87.87,-104.12000274658203,850.1938734054565
89,-96.63,-104.12000274658203,862.1338574886322
90,-84.31,-104.12000274658203,874.0585544109344
91,-101.71,-104.12000274658203,885.9113364219666
92,-92.99,-104.12000274658203,897.9085857868195
93,-96.21,-104.12000274658203,910.1779036521912
94,-100.21,-104.12000274658203,922.1989126205444
95,-97.82,-104.12000274658203,933.9344666004181
96,-103.79,-104.12000274658203,945.8527166843414
97,-104.12,-104.12000274658203,957.7968156337738
98,-94.65,-104.12000274658203,969.7042360305786
99,-103.24,-104.12000274658203,981.8800871372223
100,-80.41,-104.12000274658203,994.0146541595459
101,-106.07,-106.06999969482422,1005.8729021549225
102,-104.94,-106.06999969482422,1017.8451542854309
103,-100.63,-106.06999969482422,1029.6053259372711
104,-96.98,-106.06999969482422,1041.6217186450958
105,-106.07,-106.06999969482422,1053.7871568202972
106,-90.34,-106.06999969482422,1065.6758635044098
107,-85.23,-106.06999969482422,1077.5583674907684
108,-105.74,-106.06999969482422,1089.445728302002
109,-105.74,-106.06999969482422,1101.2234919071198
110,-87.83,-106.06999969482422,1113.2325131893158
111,-102.84,-106.06999969482422,1125.351116657257
112,-105.52,-106.06999969482422,1137.297441959381
113,-94.12,-106.06999969482422,1149.107783794403
114,-105.95,-106.06999969482422,1161.048017024994
115,-87.25,-106.06999969482422,1172.8490364551544
116,-100.09,-106.06999969482422,1184.7904977798462
117,-98.18,-106.06999969482422,1196.7440996170044
118,-105.61,-106.06999969482422,1208.471684217453
119,-93.85,-106.06999969482422,1220.0840249061584
120,-106.07,-106.06999969482422,1231.7325234413147
121,-106.07,-106.06999969482422,1243.4605147838593
122,-89.06,-106.06999969482422,1255.2858819961548
123,-96.79,-106.06999969482422,1267.2569735050201
124,-106.21,-106.20999908447266,1279.1441071033478
125,-89.63,-106.20999908447266,1290.9923667907715
126,-93.85,-106.20999908447266,1302.682590007782
127,-105.12,-106.20999908447266,1314.4879124164581
128,-109.59,-109.58999633789062,1326.317454814911
129,-109.47,-109.58999633789062,1338.2937631607056
130,-109.74,-109.73999786376953,1350.1511187553406
131,-107.82,-109.73999786376953,1362.1444585323334
132,-106.28,-109.73999786376953,1374.0152628421783
133,-106.92,-109.73999786376953,1385.8355720043182
134,-104.99,-109.73999786376953,1397.8287098407745
135,-102.83,-109.73999786376953,1410.0314390659332
136,-109.59,-109.73999786376953,1421.880711555481
137,-103.3,-109.73999786376953,1433.561529636383
138,-96.01,-109.73999786376953,1445.2807159423828
139,-107.95,-109.73999786376953,1457.0001692771912
140,-99.75,-109.73999786376953,1468.7210524082184
141,-109.74,-109.73999786376953,1480.814535856247
142,-109.59,-109.73999786376953,1492.5518774986267
143,-107.94,-109.73999786376953,1504.3211224079132
144,-101.41,-109.73999786376953,1516.0395090579987
145,-96.52,-109.73999786376953,1527.8011214733124
146,-104.07,-109.73999786376953,1539.746596813202
147,-108.46,-109.73999786376953,1551.8699779510498
148,-93.46,-109.73999786376953,1563.5346338748932
149,-98.74,-109.73999786376953,1575.2768247127533
150,-94.91,-109.73999786376953,1587.1299085617065
151,-109.74,-109.73999786376953,1599.1005668640137
152,-99.78,-109.73999786376953,1610.9114928245544
153,-106.92,-109.73999786376953,1623.0369911193848
154,-107.72,-109.73999786376953,1634.6810128688812
155,-106.22,-109.73999786376953,1646.3115763664246
156,-109.74,-109.73999786376953,1658.056948184967
157,-84.55,-109.73999786376953,1669.729597568512
158,-95.07,-109.73999786376953,1681.595581293106
159,-109.74,-109.73999786376953,1693.718275308609
160,-106.41,-109.73999786376953,1705.4840388298035
161,-101.59,-109.73999786376953,1717.124181985855
162,-82.84,-109.73999786376953,1728.8611943721771
163,-108.55,-109.73999786376953,1740.8268530368805
164,-103.01,-109.73999786376953,1752.75839304924
165,-98.85,-109.73999786376953,1764.8247973918915
166,-104.1,-109.73999786376953,1776.634928703308
167,-109.74,-109.73999786376953,1788.446300983429
168,-104.27,-109.73999786376953,1800.2152049541473
169,-93.52,-109.73999786376953,1812.1123893260956
170,-99.63,-109.73999786376953,1823.9972159862518
171,-95.1,-109.73999786376953,1836.192621231079
172,-106.03,-109.73999786376953,1848.9655919075012
173,-95.75,-109.73999786376953,1861.6346898078918
174,-86.56,-109.73999786376953,1874.1267938613892
175,-84.22,-109.73999786376953,1886.679388999939
176,-79.94,-109.73999786376953,1899.3831872940063
177,-109.74,-109.73999786376953,1912.0528693199158
178,-79.34,-109.73999786376953,1924.761924982071
179,-86.49,-109.73999786376953,1937.2429809570312
180,-107.82,-109.73999786376953,1949.6051914691925
181,-83.15,-109.73999786376953,1961.7333316802979
182,-109.09,-109.73999786376953,1973.6724262237549
183,-107.94,-109.73999786376953,1985.7891137599945
184,-86.92,-109.73999786376953,1997.5949294567108
185,-95.83,-109.73999786376953,2009.4768826961517
186,-103.57,-109.73999786376953,2021.3978729248047
187,-109.56,-109.73999786376953,2033.1678261756897
188,-106.9,-109.73999786376953,2045.1159241199493
189,-108.81,-109.73999786376953,2057.238367795944
190,-107.77,-109.73999786376953,2069.232887029648
191,-106.8,-109.73999786376953,2081.0968112945557
192,-87.92,-109.73999786376953,2092.96888422966
193,-102.58,-109.73999786376953,2104.8066005706787
194,-109.04,-109.73999786376953,2116.776166677475
195,-108.82,-109.73999786376953,2128.766927957535
196,-109.74,-109.73999786376953,2140.612463235855
197,-105.47,-109.73999786376953,2152.6508440971375
198,-101.93,-109.73999786376953,2164.3763456344604
199,-108.95,-109.73999786376953,2176.178407907486
200,-97.18,-109.73999786376953,2188.022621154785
