Eval Num,f(x),f(x*),Elapsed Time
1,-76.83,-76.83000183105469,0.0033338069915771484
2,-74.94,-76.83000183105469,0.006697177886962891
3,-78.68,-78.68000030517578,0.010827302932739258
4,-69.18,-78.68000030517578,0.018463611602783203
5,-88.21,-88.20999908447266,0.025506019592285156
6,-70.41,-88.20999908447266,0.03239560127258301
7,-87.31,-88.20999908447266,0.04025387763977051
8,-70.44,-88.20999908447266,0.04687905311584473
9,-76.16,-88.20999908447266,0.053791046142578125
10,-78.78,-88.20999908447266,0.06147003173828125
11,-76.44,-88.20999908447266,0.06897091865539551
12,-64.97,-88.20999908447266,0.07607460021972656
13,-83.64,-88.20999908447266,0.08385515213012695
14,-80.98,-88.20999908447266,0.09129524230957031
15,-85.32,-88.20999908447266,0.098052978515625
16,-61.63,-88.20999908447266,0.10486888885498047
17,-74.97,-88.20999908447266,0.11176037788391113
18,-65.47,-88.20999908447266,0.11899352073669434
19,-63.49,-88.20999908447266,0.12620997428894043
20,-83.4,-88.20999908447266,0.13331270217895508
21,-84.64,-88.20999908447266,1.6425654888153076
22,-79.41,-88.20999908447266,3.188669443130493
23,-85.65,-88.20999908447266,4.696589231491089
24,-86.04,-88.20999908447266,6.229187965393066
25,-68.39,-88.20999908447266,7.79897665977478
26,-84.74,-88.20999908447266,9.321776151657104
27,-79.47,-88.20999908447266,10.842718601226807
28,-91.57,-91.56999969482422,12.36960220336914
29,-81.5,-91.56999969482422,13.846604585647583
30,-80.13,-91.56999969482422,15.31362533569336
31,-74.38,-91.56999969482422,16.785377025604248
32,-81.18,-91.56999969482422,18.31860661506653
33,-78.2,-91.56999969482422,19.842894792556763
34,-81.73,-91.56999969482422,21.367210865020752
35,-86.68,-91.56999969482422,22.843287706375122
36,-85.85,-91.56999969482422,24.3553946018219
37,-71.13,-91.56999969482422,25.821226596832275
38,-81.1,-91.56999969482422,27.286837100982666
39,-82.4,-91.56999969482422,28.77341651916504
40,-81.85,-91.56999969482422,30.245059967041016
41,-84.95,-91.56999969482422,31.735674619674683
42,-91.58,-91.58000183105469,33.16886520385742
43,-88.54,-91.58000183105469,34.66809678077698
44,-74.99,-91.58000183105469,36.15329623222351
45,-85.03,-91.58000183105469,37.648690938949585
46,-82.09,-91.58000183105469,39.15384292602539
47,-81.52,-91.58000183105469,40.707860708236694
48,-97.38,-97.37999725341797,42.20535206794739
49,-87.67,-97.37999725341797,43.650367736816406
50,-92.74,-97.37999725341797,45.09430551528931
51,-86.16,-97.37999725341797,46.54931449890137
52,-95.45,-97.37999725341797,47.97349214553833
53,-96.09,-97.37999725341797,49.369901180267334
54,-95.88,-97.37999725341797,50.83044409751892
55,-90.84,-97.37999725341797,52.274329662323
56,-78.59,-97.37999725341797,53.65593862533569
57,-95.64,-97.37999725341797,55.02471089363098
58,-83.13,-97.37999725341797,56.40773248672485
59,-81.03,-97.37999725341797,57.77673053741455
60,-97.38,-97.37999725341797,59.12274193763733
61,-83.61,-97.37999725341797,60.47500801086426
62,-95.2,-97.37999725341797,61.848593950271606
63,-80.45,-97.37999725341797,63.25022578239441
64,-90.58,-97.37999725341797,64.68274116516113
65,-88.83,-97.37999725341797,66.0635735988617
66,-89.59,-97.37999725341797,67.49060487747192
67,-85.93,-97.37999725341797,69.01815557479858
68,-94.96,-97.37999725341797,70.53488373756409
69,-99.99,-99.98999786376953,72.09840726852417
70,-99.31,-99.98999786376953,73.52702569961548
71,-94.24,-99.98999786376953,74.98833155632019
72,-101.21,-101.20999908447266,76.37540626525879
73,-102.12,-102.12000274658203,77.79042077064514
74,-105.25,-105.25,79.19488668441772
75,-103.67,-105.25,80.55056619644165
76,-102.44,-105.25,81.9762761592865
77,-91.24,-105.25,83.41644430160522
78,-105.25,-105.25,84.83086705207825
79,-102.46,-105.25,86.24310398101807
80,-105.25,-105.25,87.64074301719666
81,-106.48,-106.4800033569336,89.02458143234253
82,-104.19,-106.4800033569336,90.4169442653656
83,-106.48,-106.4800033569336,91.78572082519531
84,-103.25,-106.4800033569336,93.15735292434692
85,-98.88,-106.4800033569336,94.53387928009033
86,-101.22,-106.4800033569336,95.95367550849915
87,-103.91,-106.4800033569336,97.37280440330505
88,-103.79,-106.4800033569336,98.90624737739563
89,-88.37,-106.4800033569336,100.38385152816772
90,-100.88,-106.4800033569336,101.7852532863617
91,-102.6,-106.4800033569336,103.21761178970337
92,-105.03,-106.4800033569336,104.66379809379578
93,-94.09,-106.4800033569336,106.13173580169678
94,-94.55,-106.4800033569336,107.68117070198059
95,-104.82,-106.4800033569336,109.12837934494019
96,-98.19,-106.4800033569336,110.61597466468811
97,-103.08,-106.4800033569336,111.98415493965149
98,-93.96,-106.4800033569336,113.38798308372498
99,-105.68,-106.4800033569336,114.82426905632019
100,-104.64,-106.4800033569336,116.26710939407349
101,-99.54,-106.4800033569336,117.67060422897339
102,-106.09,-106.4800033569336,119.05494618415833
103,-101.92,-106.4800033569336,120.43409299850464
104,-99.81,-106.4800033569336,121.90644550323486
105,-99.0,-106.4800033569336,123.32487773895264
106,-100.98,-106.4800033569336,124.74833130836487
107,-106.48,-106.4800033569336,126.12476325035095
108,-106.48,-106.4800033569336,127.51566982269287
109,-90.54,-106.4800033569336,128.94795203208923
110,-106.46,-106.4800033569336,130.3199121952057
111,-85.33,-106.4800033569336,131.78915762901306
112,-89.59,-106.4800033569336,133.2660675048828
113,-99.45,-106.4800033569336,134.69311475753784
114,-99.94,-106.4800033569336,136.08048224449158
115,-96.23,-106.4800033569336,137.5089750289917
116,-90.71,-106.4800033569336,138.91999745368958
117,-86.96,-106.4800033569336,140.31445860862732
118,-105.4,-106.4800033569336,141.68483543395996
119,-92.28,-106.4800033569336,143.07125329971313
120,-103.85,-106.4800033569336,144.4811236858368
121,-100.66,-106.4800033569336,145.87109994888306
122,-95.22,-106.4800033569336,147.31169033050537
123,-105.22,-106.4800033569336,148.64430904388428
124,-105.44,-106.4800033569336,150.07467436790466
125,-104.73,-106.4800033569336,151.49265933036804
126,-103.28,-106.4800033569336,152.88264727592468
127,-102.6,-106.4800033569336,154.23722076416016
128,-101.72,-106.4800033569336,155.6343846321106
129,-92.88,-106.4800033569336,157.0753138065338
130,-98.59,-106.4800033569336,158.51010394096375
131,-104.55,-106.4800033569336,159.96542096138
132,-91.76,-106.4800033569336,161.4379105567932
133,-86.36,-106.4800033569336,162.92102575302124
134,-105.5,-106.4800033569336,164.41583943367004
135,-103.79,-106.4800033569336,165.8486785888672
136,-84.29,-106.4800033569336,167.31162285804749
137,-103.18,-106.4800033569336,168.79915404319763
138,-87.19,-106.4800033569336,170.26192784309387
139,-87.52,-106.4800033569336,171.6998815536499
140,-102.17,-106.4800033569336,173.1919023990631
141,-87.08,-106.4800033569336,174.6699287891388
142,-99.01,-106.4800033569336,176.14028072357178
143,-96.25,-106.4800033569336,177.61056470870972
144,-94.03,-106.4800033569336,179.06757426261902
145,-92.0,-106.4800033569336,180.53796482086182
146,-103.88,-106.4800033569336,182.02904605865479
147,-83.66,-106.4800033569336,183.4931092262268
148,-98.36,-106.4800033569336,184.93428254127502
149,-97.9,-106.4800033569336,186.39805364608765
150,-94.44,-106.4800033569336,187.8456768989563
151,-103.59,-106.4800033569336,189.3013412952423
152,-105.68,-106.4800033569336,190.7350091934204
153,-100.79,-106.4800033569336,192.1809117794037
154,-85.96,-106.4800033569336,193.62380957603455
155,-103.25,-106.4800033569336,195.07618522644043
156,-90.82,-106.4800033569336,196.54485368728638
157,-85.74,-106.4800033569336,198.00396275520325
158,-97.71,-106.4800033569336,199.4460015296936
159,-103.35,-106.4800033569336,200.9067940711975
160,-90.1,-106.4800033569336,202.35521817207336
161,-104.62,-106.4800033569336,203.81090426445007
162,-105.4,-106.4800033569336,205.25648856163025
163,-85.36,-106.4800033569336,206.7198932170868
164,-104.89,-106.4800033569336,208.13002061843872
165,-102.21,-106.4800033569336,209.6235966682434
166,-93.08,-106.4800033569336,211.135840177536
167,-102.23,-106.4800033569336,212.60120153427124
168,-99.16,-106.4800033569336,214.03021907806396
169,-94.27,-106.4800033569336,215.46435379981995
170,-85.02,-106.4800033569336,216.98820781707764
171,-91.03,-106.4800033569336,218.48230862617493
172,-101.05,-106.4800033569336,219.93159770965576
173,-84.85,-106.4800033569336,221.40499687194824
174,-86.88,-106.4800033569336,222.86485052108765
175,-101.05,-106.4800033569336,224.34160661697388
176,-102.37,-106.4800033569336,225.84025716781616
177,-103.46,-106.4800033569336,227.31541657447815
178,-99.71,-106.4800033569336,228.81488275527954
179,-93.15,-106.4800033569336,230.31243467330933
180,-95.71,-106.4800033569336,231.79890608787537
181,-101.05,-106.4800033569336,233.29150581359863
182,-105.62,-106.4800033569336,234.77799677848816
183,-104.16,-106.4800033569336,236.29532122612
184,-99.17,-106.4800033569336,237.72811484336853
185,-99.28,-106.4800033569336,239.1920666694641
186,-101.05,-106.4800033569336,240.67571377754211
187,-83.9,-106.4800033569336,242.1725287437439
188,-101.69,-106.4800033569336,243.66722869873047
189,-100.6,-106.4800033569336,245.1407790184021
190,-85.04,-106.4800033569336,246.64499044418335
191,-106.24,-106.4800033569336,248.12786602973938
192,-105.46,-106.4800033569336,249.61753153800964
193,-86.95,-106.4800033569336,251.12351059913635
194,-104.88,-106.4800033569336,252.65471291542053
195,-91.45,-106.4800033569336,254.19127345085144
196,-89.11,-106.4800033569336,255.70033884048462
197,-95.29,-106.4800033569336,257.26193857192993
198,-105.24,-106.4800033569336,258.7982199192047
199,-105.61,-106.4800033569336,260.30168771743774
200,-101.54,-106.4800033569336,261.8228623867035
