Eval Num,f(x),f(x*),Elapsed Time
1,-66.64,-66.63999938964844,0.005045175552368164
2,-81.57,-81.56999969482422,0.01226806640625
3,-82.01,-82.01000213623047,0.01935434341430664
4,-66.77,-82.01000213623047,0.02601146697998047
5,-88.98,-88.9800033569336,0.033397674560546875
6,-72.99,-88.9800033569336,0.041100502014160156
7,-75.69,-88.9800033569336,0.049009084701538086
8,-77.8,-88.9800033569336,0.055818796157836914
9,-96.39,-96.38999938964844,0.06296038627624512
10,-72.54,-96.38999938964844,0.07064223289489746
11,-84.99,-96.38999938964844,0.07858514785766602
12,-60.27,-96.38999938964844,0.08612513542175293
13,-78.62,-96.38999938964844,0.0933685302734375
14,-77.38,-96.38999938964844,0.10081720352172852
15,-84.77,-96.38999938964844,0.10800623893737793
16,-66.41,-96.38999938964844,0.11494946479797363
17,-78.51,-96.38999938964844,0.12208676338195801
18,-76.95,-96.38999938964844,0.12969374656677246
19,-90.74,-96.38999938964844,0.13654279708862305
20,-74.05,-96.38999938964844,0.14378881454467773
21,-96.46,-96.45999908447266,1.6083941459655762
22,-62.96,-96.45999908447266,3.0121207237243652
23,-89.32,-96.45999908447266,4.4710376262664795
24,-80.5,-96.45999908447266,5.959561586380005
25,-95.56,-96.45999908447266,7.391064167022705
26,-83.6,-96.45999908447266,8.835192441940308
27,-85.35,-96.45999908447266,10.295591115951538
28,-90.27,-96.45999908447266,11.7622549533844
29,-86.92,-96.45999908447266,13.296634674072266
30,-84.68,-96.45999908447266,14.78195333480835
31,-79.59,-96.45999908447266,16.257529497146606
32,-90.23,-96.45999908447266,17.74169087409973
33,-76.87,-96.45999908447266,19.22673773765564
34,-78.65,-96.45999908447266,20.738758325576782
35,-94.4,-96.45999908447266,22.26193118095398
36,-86.72,-96.45999908447266,23.818145751953125
37,-72.28,-96.45999908447266,25.44988703727722
38,-92.37,-96.45999908447266,27.051339626312256
39,-95.92,-96.45999908447266,28.657247066497803
40,-83.09,-96.45999908447266,30.27461838722229
41,-81.71,-96.45999908447266,31.957958221435547
42,-86.73,-96.45999908447266,33.584200620651245
43,-94.08,-96.45999908447266,35.213706493377686
44,-79.01,-96.45999908447266,36.852389097213745
45,-75.27,-96.45999908447266,38.50456619262695
46,-83.39,-96.45999908447266,40.22039341926575
47,-86.69,-96.45999908447266,41.89246225357056
48,-81.69,-96.45999908447266,43.56529235839844
49,-93.09,-96.45999908447266,45.24595284461975
50,-86.4,-96.45999908447266,46.96524238586426
51,-74.96,-96.45999908447266,48.64690446853638
52,-79.12,-96.45999908447266,50.338409423828125
53,-84.58,-96.45999908447266,52.0392906665802
54,-90.92,-96.45999908447266,53.7534396648407
55,-95.36,-96.45999908447266,55.46908140182495
56,-91.5,-96.45999908447266,57.24292039871216
57,-80.95,-96.45999908447266,58.973156690597534
58,-68.67,-96.45999908447266,60.70957589149475
59,-84.72,-96.45999908447266,62.44508719444275
60,-73.83,-96.45999908447266,64.19125032424927
61,-88.33,-96.45999908447266,65.9735198020935
62,-76.89,-96.45999908447266,67.76256537437439
63,-105.29,-105.29000091552734,69.56432175636292
64,-101.21,-105.29000091552734,71.36826348304749
65,-93.46,-105.29000091552734,73.16975545883179
66,-91.08,-105.29000091552734,75.03924894332886
67,-88.9,-105.29000091552734,76.98877930641174
68,-84.17,-105.29000091552734,78.87654662132263
69,-86.58,-105.29000091552734,80.71377921104431
70,-74.49,-105.29000091552734,82.56882548332214
71,-86.03,-105.29000091552734,84.43311905860901
72,-103.13,-105.29000091552734,86.3748230934143
73,-105.31,-105.30999755859375,88.25057363510132
74,-87.54,-105.30999755859375,90.11912798881531
75,-90.52,-105.30999755859375,91.99124121665955
76,-85.74,-105.30999755859375,93.8792314529419
77,-86.79,-105.30999755859375,95.76966428756714
78,-84.38,-105.30999755859375,97.74617171287537
79,-80.0,-105.30999755859375,99.62757110595703
80,-72.75,-105.30999755859375,101.52325820922852
81,-102.01,-105.30999755859375,103.42576694488525
82,-85.07,-105.30999755859375,105.3485255241394
83,-104.2,-105.30999755859375,107.278968334198
84,-100.31,-105.30999755859375,109.21214485168457
85,-89.77,-105.30999755859375,111.17153596878052
86,-104.01,-105.30999755859375,113.11462306976318
87,-95.19,-105.30999755859375,115.06543302536011
88,-83.14,-105.30999755859375,117.1677315235138
89,-85.17,-105.30999755859375,119.22818374633789
90,-89.22,-105.30999755859375,121.21139883995056
91,-84.32,-105.30999755859375,123.19866967201233
92,-61.52,-105.30999755859375,125.17811274528503
93,-103.39,-105.30999755859375,127.17500972747803
94,-104.28,-105.30999755859375,129.17845273017883
95,-95.17,-105.30999755859375,131.20471715927124
96,-90.21,-105.30999755859375,133.23881769180298
97,-105.31,-105.30999755859375,135.27162718772888
98,-87.08,-105.30999755859375,137.33559203147888
99,-79.14,-105.30999755859375,139.3921160697937
100,-78.94,-105.30999755859375,141.51498556137085
101,-98.68,-105.30999755859375,143.67663145065308
102,-80.07,-105.30999755859375,145.77340364456177
103,-88.31,-105.30999755859375,147.94679522514343
104,-80.3,-105.30999755859375,150.08552718162537
105,-103.82,-105.30999755859375,152.2220916748047
106,-89.76,-105.30999755859375,154.3596568107605
107,-83.36,-105.30999755859375,156.5027916431427
108,-93.08,-105.30999755859375,158.6808090209961
109,-81.84,-105.30999755859375,160.85250091552734
110,-91.98,-105.30999755859375,163.03769302368164
111,-101.64,-105.30999755859375,165.2286877632141
112,-82.06,-105.30999755859375,167.42145824432373
113,-83.84,-105.30999755859375,169.62392854690552
114,-106.11,-106.11000061035156,171.96842908859253
115,-79.25,-106.11000061035156,174.30632948875427
116,-84.18,-106.11000061035156,176.55635595321655
117,-103.08,-106.11000061035156,178.8294279575348
118,-78.6,-106.11000061035156,181.12471461296082
119,-88.27,-106.11000061035156,183.4710512161255
120,-106.11,-106.11000061035156,185.77706909179688
121,-80.16,-106.11000061035156,188.09820294380188
122,-85.75,-106.11000061035156,190.4304587841034
123,-104.11,-106.11000061035156,192.77424097061157
124,-101.12,-106.11000061035156,195.1555621623993
125,-100.65,-106.11000061035156,197.54456877708435
126,-97.26,-106.11000061035156,199.91157054901123
127,-98.07,-106.11000061035156,202.28954482078552
128,-74.34,-106.11000061035156,204.65991067886353
129,-94.46,-106.11000061035156,207.02839851379395
130,-106.11,-106.11000061035156,209.5108962059021
131,-72.98,-106.11000061035156,211.98672938346863
132,-88.56,-106.11000061035156,214.5059278011322
133,-91.14,-106.11000061035156,217.0206458568573
134,-102.25,-106.11000061035156,219.5821943283081
135,-106.11,-106.11000061035156,222.09882426261902
136,-84.96,-106.11000061035156,224.59798431396484
137,-75.69,-106.11000061035156,227.1266040802002
138,-97.7,-106.11000061035156,229.66639590263367
139,-106.44,-106.44000244140625,232.21102905273438
140,-86.48,-106.44000244140625,234.76307201385498
141,-66.64,-106.44000244140625,237.3317892551422
142,-105.26,-106.44000244140625,239.9333553314209
143,-102.19,-106.44000244140625,242.53949570655823
144,-88.89,-106.44000244140625,245.15966367721558
145,-80.6,-106.44000244140625,247.78125953674316
146,-77.93,-106.44000244140625,250.44814157485962
147,-94.65,-106.44000244140625,253.12093806266785
148,-101.57,-106.44000244140625,255.82182240486145
149,-87.24,-106.44000244140625,258.51556968688965
150,-75.95,-106.44000244140625,261.23361706733704
151,-91.9,-106.44000244140625,263.93769097328186
