Eval Num,f(x),f(x*),Elapsed Time
1,22,22.0,0.009757518768310547
2,21,21.0,0.019418716430664062
3,26,21.0,0.02906060218811035
4,21,21.0,0.03867602348327637
5,16,16.0,0.04827713966369629
6,18,16.0,0.0578610897064209
7,23,16.0,0.06748533248901367
8,23,16.0,0.07709288597106934
9,25,16.0,0.08669757843017578
10,19,16.0,0.0963277816772461
11,17,16.0,0.10593986511230469
12,18,16.0,0.11555910110473633
13,14,14.0,0.12519216537475586
14,31,14.0,0.1348283290863037
15,20,14.0,0.14445948600769043
16,18,14.0,0.15408015251159668
17,23,14.0,0.1636955738067627
18,17,14.0,0.17332720756530762
19,12,12.0,0.1829235553741455
20,19,12.0,0.19257760047912598
21,22,12.0,8.323578357696533
22,13,12.0,16.55819344520569
23,19,12.0,24.959826469421387
24,14,12.0,33.445690870285034
25,22,12.0,42.07218861579895
26,21,12.0,50.84970021247864
27,14,12.0,59.59936881065369
28,32,12.0,68.40604710578918
29,14,12.0,77.28809762001038
30,26,12.0,86.24918532371521
31,18,12.0,95.35250234603882
32,19,12.0,104.54056358337402
33,23,12.0,113.77838206291199
34,29,12.0,123.1378493309021
35,17,12.0,132.62033224105835
36,18,12.0,142.14071369171143
37,23,12.0,151.78754472732544
38,22,12.0,161.49875402450562
39,20,12.0,171.23731517791748
40,15,12.0,181.01573300361633
41,13,12.0,190.8534927368164
42,15,12.0,200.6925277709961
43,22,12.0,210.6376006603241
44,19,12.0,220.66439700126648
45,17,12.0,230.64848446846008
46,20,12.0,240.81326127052307
47,17,12.0,251.0185525417328
48,19,12.0,261.2189736366272
49,19,12.0,271.5014281272888
50,16,12.0,281.7861125469208
51,16,12.0,292.0960831642151
52,25,12.0,302.4762749671936
53,21,12.0,312.91310930252075
54,15,12.0,323.31674218177795
55,22,12.0,333.82711362838745
56,17,12.0,344.35864305496216
57,26,12.0,354.94411969184875
58,20,12.0,365.5565676689148
59,21,12.0,376.2518994808197
60,28,12.0,386.85572624206543
61,24,12.0,397.54777240753174
62,14,12.0,408.2177367210388
63,16,12.0,418.9807131290436
64,16,12.0,429.7013998031616
65,23,12.0,440.40596318244934
66,26,12.0,451.18993639945984
67,18,12.0,462.01463079452515
68,17,12.0,472.787038564682
69,20,12.0,483.60923624038696
70,22,12.0,494.4591705799103
71,17,12.0,505.28941893577576
72,21,12.0,516.1820511817932
73,18,12.0,527.0694100856781
74,28,12.0,537.947860956192
75,19,12.0,548.8841004371643
76,13,12.0,559.8192625045776
77,24,12.0,570.7223064899445
78,25,12.0,581.6808519363403
79,21,12.0,592.6480493545532
80,15,12.0,603.5829071998596
81,21,12.0,614.5761840343475
82,19,12.0,625.5769336223602
83,23,12.0,636.5615243911743
84,18,12.0,647.610833644867
85,25,12.0,658.6556918621063
86,12,12.0,669.6538569927216
87,19,12.0,680.7053213119507
88,20,12.0,691.7473456859589
89,19,12.0,702.769268989563
90,16,12.0,713.8292090892792
91,20,12.0,724.8805725574493
92,22,12.0,735.9096443653107
93,27,12.0,746.9823174476624
94,21,12.0,758.0256342887878
95,27,12.0,769.12672996521
96,22,12.0,780.2304165363312
97,17,12.0,791.293436050415
98,24,12.0,802.4495770931244
99,21,12.0,813.6064360141754
100,19,12.0,824.7351288795471
101,18,12.0,835.8805661201477
102,14,12.0,847.0608034133911
103,14,12.0,858.1985485553741
104,23,12.0,869.40918135643
105,17,12.0,880.6116030216217
106,15,12.0,891.7806689739227
107,22,12.0,902.9822180271149
108,15,12.0,914.1986136436462
109,18,12.0,925.3861224651337
110,21,12.0,936.6407611370087
111,18,12.0,947.8881759643555
112,18,12.0,959.1035680770874
113,14,12.0,970.3283441066742
114,18,12.0,981.5870852470398
115,18,12.0,992.815272808075
116,22,12.0,1004.119740486145
117,20,12.0,1015.3793351650238
118,19,12.0,1026.618570804596
119,13,12.0,1037.9039206504822
120,20,12.0,1049.2046246528625
121,27,12.0,1060.4668114185333
122,17,12.0,1071.8248903751373
123,20,12.0,1083.1255989074707
124,17,12.0,1094.3937220573425
125,23,12.0,1105.705213546753
126,16,12.0,1117.0344789028168
127,26,12.0,1128.303631067276
128,13,12.0,1139.6710221767426
129,22,12.0,1151.0063018798828
130,18,12.0,1162.4702084064484
131,17,12.0,1173.951159477234
132,14,12.0,1185.4229860305786
133,18,12.0,1196.9074778556824
134,18,12.0,1208.402134180069
135,17,12.0,1219.8673114776611
136,14,12.0,1231.38551735878
137,18,12.0,1242.8920323848724
138,23,12.0,1254.31600689888
139,21,12.0,1265.7874114513397
140,31,12.0,1277.2569007873535
141,14,12.0,1288.7047684192657
142,22,12.0,1300.1970632076263
143,20,12.0,1311.6979684829712
144,19,12.0,1323.150714635849
145,21,12.0,1334.656813621521
146,23,12.0,1346.168312549591
147,25,12.0,1357.6437981128693
148,26,12.0,1369.179586648941
149,14,12.0,1380.689779996872
150,18,12.0,1392.1597683429718
151,19,12.0,1403.6865894794464
152,19,12.0,1415.2160062789917
153,23,12.0,1426.7353448867798
154,27,12.0,1438.2825498580933
155,17,12.0,1449.8255879878998
156,17,12.0,1461.3319540023804
157,21,12.0,1472.891384601593
158,17,12.0,1484.4129242897034
159,16,12.0,1495.9816811084747
160,18,12.0,1507.525166273117
161,18,12.0,1519.0350663661957
162,18,12.0,1530.645839691162
163,20,12.0,1542.256252527237
164,14,12.0,1553.7920007705688
165,18,12.0,1565.3871581554413
166,24,12.0,1576.987958908081
167,18,12.0,1588.5587894916534
168,24,12.0,1600.1726987361908
169,13,12.0,1611.7915179729462
170,18,12.0,1623.3706793785095
171,24,12.0,1635.0015091896057
172,21,12.0,1646.6354219913483
173,16,12.0,1658.2423951625824
174,17,12.0,1669.8773069381714
175,25,12.0,1681.5175535678864
176,16,12.0,1693.1296606063843
177,18,12.0,1704.7770371437073
178,23,12.0,1716.4529702663422
179,21,12.0,1728.0978016853333
180,18,12.0,1739.7804639339447
181,16,12.0,1751.4485530853271
182,15,12.0,1763.072871208191
183,19,12.0,1774.8113651275635
184,17,12.0,1786.5395634174347
185,21,12.0,1798.3013350963593
186,21,12.0,1810.0529010295868
187,22,12.0,1821.79905128479
188,16,12.0,1833.517874956131
189,25,12.0,1845.2816438674927
190,17,12.0,1856.9977931976318
191,16,12.0,1868.7441804409027
192,16,12.0,1880.5083901882172
193,14,12.0,1892.2483541965485
194,20,12.0,1904.1487164497375
195,18,12.0,1916.0266132354736
196,17,12.0,1927.8786962032318
197,23,12.0,1939.7786300182343
198,22,12.0,1951.677090883255
199,19,12.0,1963.5527160167694
200,19,12.0,1975.4560415744781
