Eval Num,f(x),f(x*),Elapsed Time
1,13,13.0,0.007395505905151367
2,27,13.0,0.014906883239746094
3,22,13.0,0.02237415313720703
4,23,13.0,0.029887914657592773
5,14,13.0,0.03736138343811035
6,23,13.0,0.04484200477600098
7,19,13.0,0.052318572998046875
8,25,13.0,0.05982375144958496
9,26,13.0,0.06729412078857422
10,26,13.0,0.07477426528930664
11,24,13.0,0.08227157592773438
12,21,13.0,0.08975720405578613
13,18,13.0,0.09727931022644043
14,21,13.0,0.10478520393371582
15,26,13.0,0.11229300498962402
16,22,13.0,0.11985945701599121
17,23,13.0,0.12733674049377441
18,16,13.0,0.13482236862182617
19,27,13.0,0.14228296279907227
20,17,13.0,0.14975929260253906
21,17,13.0,1.058201789855957
22,18,13.0,2.1092751026153564
23,22,13.0,3.071209192276001
24,16,13.0,3.9562036991119385
25,15,13.0,4.8206586837768555
26,26,13.0,5.836770534515381
27,15,13.0,6.697936534881592
28,21,13.0,7.698251008987427
29,18,13.0,8.555111169815063
30,18,13.0,9.555417776107788
31,21,13.0,10.5257887840271
32,22,13.0,11.540390491485596
33,23,13.0,12.551836729049683
34,20,13.0,13.412391662597656
35,16,13.0,14.439491271972656
36,21,13.0,15.226616621017456
37,17,13.0,16.289589405059814
38,14,13.0,17.25642156600952
39,29,13.0,18.26000666618347
40,20,13.0,19.345778703689575
41,15,13.0,20.37714958190918
42,21,13.0,21.420923233032227
43,24,13.0,22.530274152755737
44,23,13.0,23.548404455184937
45,18,13.0,24.699015378952026
46,30,13.0,25.816131830215454
47,22,13.0,26.89663577079773
48,18,13.0,28.005112886428833
49,20,13.0,29.00810670852661
50,18,13.0,29.999760627746582
51,17,13.0,31.13392186164856
52,13,13.0,32.2401864528656
53,21,13.0,33.31011080741882
54,27,13.0,34.52158999443054
55,21,13.0,35.64530539512634
56,17,13.0,36.692806243896484
57,26,13.0,37.79079270362854
58,28,13.0,38.83119344711304
59,18,13.0,39.88831615447998
60,18,13.0,40.98935580253601
61,24,13.0,42.18414878845215
62,21,13.0,43.290735721588135
63,17,13.0,44.401060342788696
64,23,13.0,45.63208794593811
65,30,13.0,46.727638483047485
66,15,13.0,48.03942155838013
67,30,13.0,49.351645708084106
68,19,13.0,50.498966217041016
69,26,13.0,51.645562410354614
70,20,13.0,52.88787484169006
71,18,13.0,54.07609272003174
72,28,13.0,55.37733459472656
73,22,13.0,56.64146614074707
74,23,13.0,57.99175453186035
75,23,13.0,59.283727169036865
76,19,13.0,60.69834542274475
77,19,13.0,62.11847519874573
78,19,13.0,63.525367975234985
79,21,13.0,64.94122314453125
80,22,13.0,66.38134026527405
81,21,13.0,67.82863640785217
82,28,13.0,69.29738211631775
83,17,13.0,70.77785420417786
84,15,13.0,72.28289461135864
85,21,13.0,73.8131833076477
86,30,13.0,75.36172914505005
87,23,13.0,76.944087266922
88,19,13.0,78.54949069023132
89,21,13.0,80.1817102432251
90,20,13.0,81.8419930934906
91,19,13.0,83.53134560585022
92,19,13.0,85.26445412635803
93,21,13.0,87.02274680137634
94,32,13.0,88.80186057090759
95,18,13.0,90.60892796516418
96,24,13.0,92.44267535209656
97,16,13.0,94.30319714546204
98,20,13.0,96.19956111907959
99,18,13.0,98.12425994873047
100,18,13.0,100.08557987213135
101,13,13.0,102.0911602973938
102,20,13.0,104.1290910243988
103,16,13.0,106.36607480049133
104,19,13.0,108.6463577747345
105,27,13.0,110.95955085754395
106,18,13.0,113.31153583526611
107,29,13.0,115.69927620887756
108,20,13.0,118.12028741836548
109,21,13.0,120.6172103881836
110,13,13.0,123.16796231269836
111,18,13.0,125.73949217796326
112,16,13.0,128.34827780723572
113,21,13.0,130.98550128936768
114,13,13.0,133.6643054485321
115,30,13.0,136.3910038471222
116,21,13.0,139.1804895401001
117,20,13.0,141.99809312820435
118,32,13.0,144.8356683254242
119,15,13.0,147.70254349708557
120,23,13.0,150.63012790679932
121,20,13.0,153.6116645336151
122,31,13.0,156.60638117790222
123,19,13.0,159.66305112838745
124,19,13.0,162.75506567955017
125,18,13.0,165.8669924736023
126,17,13.0,169.04618501663208
127,17,13.0,172.26421475410461
128,21,13.0,175.53866505622864
129,18,13.0,178.85628199577332
130,14,13.0,182.2343933582306
131,20,13.0,185.63802003860474
132,14,13.0,189.09117698669434
133,23,13.0,192.59214162826538
134,18,13.0,196.1457200050354
135,22,13.0,199.772536277771
136,25,13.0,203.43804693222046
137,22,13.0,207.12773942947388
138,24,13.0,210.8752064704895
139,23,13.0,214.67768383026123
140,17,13.0,218.5091588497162
141,15,13.0,222.3975031375885
142,19,13.0,226.34051513671875
143,26,13.0,230.33449864387512
144,24,13.0,234.37565207481384
145,25,13.0,238.47343802452087
146,17,13.0,242.65252304077148
147,20,13.0,246.8673756122589
148,21,13.0,251.1122465133667
