Eval Num,f(x),f(x*),Elapsed Time
1,21,21.0,0.008473634719848633
2,19,19.0,0.016721725463867188
3,18,18.0,0.024591445922851562
4,25,18.0,0.032387733459472656
5,21,18.0,0.04014182090759277
6,20,18.0,0.047876834869384766
7,29,18.0,0.0556333065032959
8,25,18.0,0.06344246864318848
9,15,15.0,0.07117700576782227
10,15,15.0,0.07887101173400879
11,20,15.0,0.08652138710021973
12,19,15.0,0.09417009353637695
13,21,15.0,0.10186600685119629
14,20,15.0,0.10949993133544922
15,21,15.0,0.11709022521972656
16,29,15.0,0.12474465370178223
17,19,15.0,0.1323070526123047
18,23,15.0,0.13982486724853516
19,17,15.0,0.14735746383666992
20,19,15.0,0.15485596656799316
21,11,11.0,233.25928926467896
22,18,11.0,259.62644052505493
23,21,11.0,285.6728491783142
24,15,11.0,313.1219687461853
25,11,11.0,341.6621959209442
26,19,11.0,368.6538727283478
27,11,11.0,396.76127314567566
28,13,11.0,425.5728499889374
29,23,11.0,454.56967973709106
30,11,11.0,483.33879923820496
31,13,11.0,511.07654452323914
32,12,11.0,538.7032115459442
33,15,11.0,567.3302381038666
34,18,11.0,597.4402506351471
35,11,11.0,627.0095567703247
36,18,11.0,655.111273765564
37,11,11.0,684.0970029830933
38,11,11.0,713.0687725543976
39,11,11.0,743.2679533958435
40,13,11.0,772.898619890213
41,11,11.0,801.5161995887756
42,17,11.0,829.9546413421631
43,11,11.0,857.4984459877014
44,9,9.0,886.6547009944916
45,9,9.0,914.1292448043823
46,9,9.0,945.7267112731934
47,9,9.0,974.2534725666046
48,9,9.0,1003.0938820838928
49,15,9.0,1033.7495155334473
50,16,9.0,1061.805485010147
51,18,9.0,1090.1227617263794
52,9,9.0,1119.4197807312012
53,9,9.0,1148.9227783679962
54,13,9.0,1180.2858991622925
55,9,9.0,1209.1331541538239
56,16,9.0,1240.8002352714539
57,9,9.0,1271.5845773220062
58,17,9.0,1303.3114743232727
59,9,9.0,1332.078845024109
60,11,9.0,1362.098786830902
61,9,9.0,1391.3191804885864
62,11,9.0,1420.2819194793701
63,9,9.0,1450.5993156433105
64,9,9.0,1480.5523648262024
65,15,9.0,1510.0181684494019
66,22,9.0,1539.8351933956146
67,9,9.0,1568.6787662506104
68,9,9.0,1597.4525196552277
69,11,9.0,1631.594605922699
70,14,9.0,1662.0115385055542
71,9,9.0,1691.725227355957
