Eval Num,f(x),f(x*),Elapsed Time
1,13,13.0,0.008857488632202148
2,27,13.0,0.016930103302001953
3,22,13.0,0.024794578552246094
4,23,13.0,0.03256940841674805
5,14,13.0,0.04034733772277832
6,23,13.0,0.04808974266052246
7,19,13.0,0.055773258209228516
8,25,13.0,0.06340718269348145
9,26,13.0,0.07099199295043945
10,26,13.0,0.0785367488861084
11,24,13.0,0.08610010147094727
12,21,13.0,0.09361743927001953
13,18,13.0,0.10113811492919922
14,21,13.0,0.10866022109985352
15,26,13.0,0.11614036560058594
16,22,13.0,0.12358856201171875
17,23,13.0,0.1310129165649414
18,16,13.0,0.1384282112121582
19,27,13.0,0.14585471153259277
20,17,13.0,0.15325570106506348
21,23,13.0,1.2170863151550293
22,18,13.0,2.2813329696655273
23,16,13.0,3.3358161449432373
24,25,13.0,4.405279159545898
25,14,13.0,5.460607290267944
26,19,13.0,6.571220397949219
27,20,13.0,7.634882688522339
28,23,13.0,8.712442398071289
29,21,13.0,9.749265670776367
30,19,13.0,10.797420978546143
31,27,13.0,11.85371208190918
32,19,13.0,12.981359720230103
33,27,13.0,14.088653564453125
34,16,13.0,15.203823566436768
35,22,13.0,16.234890937805176
36,18,13.0,17.277775526046753
37,19,13.0,18.295032739639282
38,20,13.0,19.357120752334595
39,21,13.0,20.40237593650818
40,23,13.0,21.48710823059082
41,24,13.0,22.617971420288086
42,17,13.0,23.80888605117798
43,21,13.0,24.857802152633667
44,21,13.0,25.896432399749756
45,24,13.0,27.078986644744873
46,23,13.0,28.150639533996582
47,26,13.0,29.227519989013672
48,18,13.0,30.285690307617188
49,24,13.0,31.412902116775513
50,14,13.0,32.49817252159119
51,19,13.0,33.58779287338257
52,15,13.0,34.679444789886475
53,24,13.0,35.80579090118408
54,22,13.0,36.93443727493286
55,20,13.0,38.06069350242615
56,21,13.0,39.15946865081787
57,23,13.0,40.30084991455078
58,25,13.0,41.39681816101074
59,27,13.0,42.43248105049133
60,19,13.0,43.5276620388031
61,18,13.0,44.65426683425903
62,20,13.0,45.861087799072266
63,21,13.0,46.98545718193054
64,30,13.0,48.08141112327576
65,15,13.0,49.12021493911743
66,18,13.0,50.146384716033936
67,22,13.0,51.23015093803406
68,12,12.0,52.26639246940613
69,21,12.0,53.38087010383606
70,20,12.0,54.46196889877319
71,19,12.0,55.65467023849487
72,24,12.0,56.7033805847168
73,17,12.0,57.91130495071411
74,15,12.0,59.04554343223572
75,22,12.0,60.12217736244202
76,17,12.0,61.19688081741333
77,15,12.0,62.29310870170593
78,15,12.0,63.31405282020569
79,20,12.0,64.36551666259766
80,22,12.0,65.55032587051392
81,18,12.0,66.68458008766174
82,26,12.0,67.70682311058044
83,14,12.0,68.71321892738342
84,20,12.0,69.76662373542786
85,21,12.0,70.87556600570679
86,18,12.0,71.96320533752441
87,20,12.0,73.04356813430786
88,22,12.0,74.09087467193604
89,21,12.0,75.15161633491516
90,24,12.0,76.21815872192383
91,21,12.0,77.40470767021179
92,6,6.0,78.48416757583618
93,15,6.0,79.52918004989624
94,19,6.0,80.57235193252563
95,22,6.0,81.66856074333191
96,19,6.0,82.67765164375305
97,23,6.0,83.74586653709412
98,21,6.0,84.77742767333984
99,19,6.0,85.89033365249634
100,20,6.0,86.94328927993774
101,21,6.0,88.0061457157135
102,20,6.0,89.10028767585754
103,13,6.0,90.17525935173035
104,19,6.0,91.23275971412659
105,15,6.0,92.27412033081055
106,18,6.0,93.31380462646484
107,14,6.0,94.35601544380188
108,23,6.0,95.44195675849915
109,20,6.0,96.55912899971008
110,18,6.0,97.64579749107361
111,21,6.0,98.70167970657349
112,17,6.0,99.76922798156738
113,21,6.0,100.80046892166138
114,12,6.0,101.84173369407654
115,21,6.0,102.84848117828369
116,19,6.0,103.86791753768921
117,19,6.0,104.9358868598938
118,22,6.0,106.00692439079285
119,23,6.0,107.1433756351471
120,20,6.0,108.24084138870239
121,15,6.0,109.23816180229187
122,20,6.0,110.25916171073914
123,13,6.0,111.31863069534302
124,19,6.0,112.42330074310303
125,13,6.0,113.4066686630249
126,11,6.0,114.42215394973755
127,16,6.0,115.53430414199829
128,23,6.0,116.5693027973175
129,21,6.0,117.66862845420837
130,14,6.0,118.77525520324707
131,23,6.0,119.86215615272522
132,19,6.0,120.96822190284729
133,25,6.0,122.07975459098816
134,25,6.0,123.1724762916565
135,19,6.0,124.28522396087646
136,22,6.0,125.3692786693573
137,23,6.0,126.47532033920288
138,23,6.0,127.56079626083374
139,16,6.0,128.69081902503967
140,20,6.0,129.790141582489
141,17,6.0,130.89156794548035
142,23,6.0,132.03129744529724
143,21,6.0,133.1183602809906
144,18,6.0,134.21924996376038
145,18,6.0,135.29797172546387
146,24,6.0,136.42105865478516
147,19,6.0,137.53925323486328
148,21,6.0,138.6826696395874
149,12,6.0,139.75719547271729
150,12,6.0,140.90203619003296
151,21,6.0,141.95089650154114
152,21,6.0,143.10261034965515
153,22,6.0,144.15106844902039
154,15,6.0,145.20552158355713
155,21,6.0,146.37199640274048
156,15,6.0,147.5108847618103
157,22,6.0,148.56730914115906
158,26,6.0,149.67784571647644
159,22,6.0,150.79429697990417
160,23,6.0,151.93229603767395
161,21,6.0,153.04282402992249
162,23,6.0,154.203941822052
163,22,6.0,155.32776260375977
164,19,6.0,156.42613220214844
165,25,6.0,157.47843956947327
166,21,6.0,158.56657791137695
167,23,6.0,159.65559339523315
168,20,6.0,160.76301860809326
169,23,6.0,161.9068877696991
170,22,6.0,163.03761792182922
171,14,6.0,164.183979511261
172,15,6.0,165.27687883377075
173,25,6.0,166.35848665237427
