Eval Num,f(x),f(x*),Elapsed Time
1,22,22.0,0.009676694869995117
2,21,21.0,0.01914691925048828
3,26,21.0,0.02852344512939453
4,21,21.0,0.03794384002685547
5,16,16.0,0.047327518463134766
6,18,16.0,0.05680131912231445
7,23,16.0,0.06630706787109375
8,23,16.0,0.07575488090515137
9,25,16.0,0.08516526222229004
10,19,16.0,0.0946195125579834
11,17,16.0,0.10406732559204102
12,18,16.0,0.11346793174743652
13,14,14.0,0.1229391098022461
14,31,14.0,0.132432222366333
15,20,14.0,0.14191412925720215
16,18,14.0,0.1513075828552246
17,23,14.0,0.16068482398986816
18,17,14.0,0.170090913772583
19,12,12.0,0.17946887016296387
20,19,12.0,0.1889796257019043
21,15,12.0,237.04493832588196
22,26,12.0,259.1161878108978
23,18,12.0,281.2301812171936
24,22,12.0,303.7210581302643
25,18,12.0,325.1445806026459
26,18,12.0,347.16717886924744
27,20,12.0,368.85189747810364
28,25,12.0,390.8110077381134
29,20,12.0,413.1087260246277
30,18,12.0,434.3824691772461
31,14,12.0,457.0191569328308
32,23,12.0,479.0650703907013
33,18,12.0,501.4916181564331
34,12,12.0,523.6024181842804
35,18,12.0,545.3132758140564
36,18,12.0,567.6674568653107
37,18,12.0,590.234929561615
38,18,12.0,612.1274840831757
39,24,12.0,634.4440522193909
40,18,12.0,656.3665075302124
41,18,12.0,678.8927855491638
42,18,12.0,701.0397462844849
43,19,12.0,722.907354593277
44,18,12.0,745.7202579975128
45,14,12.0,768.0880327224731
46,18,12.0,790.5648362636566
47,18,12.0,813.2780482769012
48,18,12.0,835.7367961406708
49,18,12.0,857.8082761764526
50,15,12.0,879.817215681076
51,18,12.0,902.4170882701874
52,17,12.0,925.1573429107666
53,18,12.0,947.5299699306488
54,18,12.0,969.5304653644562
55,14,12.0,992.0035121440887
56,14,12.0,1014.0308010578156
57,18,12.0,1035.9989259243011
58,18,12.0,1058.496244430542
59,26,12.0,1080.7156648635864
60,18,12.0,1102.9311456680298
61,18,12.0,1125.0457141399384
62,14,12.0,1147.4546420574188
63,18,12.0,1169.5134284496307
64,18,12.0,1191.4414055347443
65,26,12.0,1213.6200037002563
