Eval Num,f(x),f(x*),Elapsed Time
1,22,22.0,0.009337902069091797
2,21,21.0,0.01919698715209961
3,26,21.0,0.028931617736816406
4,21,21.0,0.03864169120788574
5,16,16.0,0.04837608337402344
6,18,16.0,0.058069705963134766
7,23,16.0,0.06775903701782227
8,23,16.0,0.0774233341217041
9,25,16.0,0.08715510368347168
10,19,16.0,0.09681296348571777
11,17,16.0,0.10652852058410645
12,18,16.0,0.11615204811096191
13,14,14.0,0.12581586837768555
14,31,14.0,0.13544273376464844
15,20,14.0,0.14507150650024414
16,18,14.0,0.15468144416809082
17,23,14.0,0.16435694694519043
18,17,14.0,0.17396855354309082
19,12,12.0,0.1836230754852295
20,19,12.0,0.19323253631591797
21,19,12.0,265.91580390930176
22,18,12.0,316.48489356040955
23,19,12.0,366.55475759506226
24,18,12.0,417.0077474117279
25,24,12.0,467.88564944267273
26,12,12.0,517.5716233253479
27,18,12.0,568.7114760875702
28,18,12.0,619.0737819671631
29,23,12.0,669.270575761795
30,18,12.0,719.4091882705688
31,18,12.0,769.4239249229431
32,18,12.0,819.6245627403259
33,16,12.0,870.1346938610077
34,27,12.0,920.8882715702057
35,14,12.0,971.0466632843018
36,12,12.0,1021.7328662872314
37,14,12.0,1071.670798778534
38,18,12.0,1121.2667257785797
39,14,12.0,1171.7879869937897
40,18,12.0,1222.1818263530731
41,22,12.0,1272.108924627304
42,21,12.0,1322.9853794574738
43,26,12.0,1373.4581117630005
44,18,12.0,1424.2294046878815
45,12,12.0,1475.3285970687866
46,16,12.0,1526.247557401657
47,26,12.0,1577.3097832202911
48,22,12.0,1628.341178894043
49,12,12.0,1677.7051899433136
50,18,12.0,1728.9911456108093
51,18,12.0,1779.707016468048
52,15,12.0,1829.4362797737122
53,18,12.0,1879.5971734523773
54,18,12.0,1930.0163116455078
55,19,12.0,1980.510411977768
56,21,12.0,2030.7150967121124
57,16,12.0,2080.9806270599365
58,12,12.0,2131.9517180919647
59,17,12.0,2182.236356973648
60,18,12.0,2233.2679862976074
61,26,12.0,2283.8806002140045
62,18,12.0,2335.0847828388214
63,24,12.0,2386.5014021396637
64,18,12.0,2437.702936887741
65,18,12.0,2487.538999080658
66,12,12.0,2535.3663532733917
67,15,12.0,2586.1932504177094
68,24,12.0,2637.325135707855
69,21,12.0,2688.2068169116974
70,12,12.0,2737.563756465912
71,14,12.0,2788.0015604496
72,22,12.0,2838.362662792206
73,21,12.0,2888.968197107315
74,20,12.0,2939.6013383865356
75,22,12.0,2990.155526638031
76,23,12.0,3040.2692079544067
77,12,12.0,3090.219268321991
78,12,12.0,3140.5617525577545
79,19,12.0,3191.030272245407
80,24,12.0,3241.287133216858
81,14,12.0,3291.437203168869
82,18,12.0,3341.04172706604
83,20,12.0,3391.2886502742767
84,14,12.0,3441.3690543174744
85,12,12.0,3490.9014830589294
86,26,12.0,3541.176923274994
87,12,12.0,3591.1134259700775
88,14,12.0,3641.0797300338745
89,23,12.0,3691.3145866394043
90,20,12.0,3740.724811077118
91,24,12.0,3790.8249135017395
92,18,12.0,3840.797243833542
93,23,12.0,3890.849268913269
94,32,12.0,3941.119384765625
95,24,12.0,3991.806182861328
96,12,12.0,4041.8797211647034
97,28,12.0,4092.761035680771
98,16,12.0,4143.005659580231
99,26,12.0,4192.59322977066
100,12,12.0,4243.400674343109
101,18,12.0,4293.959515810013
102,20,12.0,4344.63645029068
103,20,12.0,4395.83593082428
104,17,12.0,4446.035351037979
105,16,12.0,4495.91392993927
106,18,12.0,4545.709626913071
107,23,12.0,4595.845982074738
108,23,12.0,4646.591686248779
109,27,12.0,4696.794971227646
110,21,12.0,4747.178058624268
111,27,12.0,4795.375169754028
112,12,12.0,4845.832145929337
113,18,12.0,4896.524038076401
114,20,12.0,4945.203907251358
115,26,12.0,4992.206340789795
116,11,11.0,5043.13946056366
117,11,11.0,5092.9547600746155
118,13,11.0,5143.256946325302
119,24,11.0,5193.256317615509
120,24,11.0,5243.942663669586
121,21,11.0,5293.5409281253815
122,18,11.0,5343.95746254921
123,23,11.0,5394.53181552887
124,25,11.0,5445.077698945999
125,25,11.0,5495.609808921814
126,18,11.0,5546.142438173294
127,10,10.0,5595.578677892685
128,23,10.0,5645.68083190918
129,19,10.0,5695.672970533371
130,18,10.0,5747.3034760952
131,20,10.0,5797.517798423767
132,24,10.0,5847.843011856079
133,10,10.0,5897.974289894104
134,26,10.0,5948.248243570328
135,12,10.0,5997.993005275726
136,14,10.0,6048.430093765259
137,25,10.0,6095.685366630554
