Eval Num,f(x),f(x*),Elapsed Time
1,21,21.0,0.010413169860839844
2,19,19.0,0.020356416702270508
3,18,18.0,0.030074596405029297
4,25,18.0,0.03979682922363281
5,21,18.0,0.04948544502258301
6,20,18.0,0.059217214584350586
7,29,18.0,0.06914854049682617
8,25,18.0,0.07921934127807617
9,15,15.0,0.08903217315673828
10,15,15.0,0.09874176979064941
11,20,15.0,0.10849642753601074
12,19,15.0,0.1183619499206543
13,21,15.0,0.12811517715454102
14,20,15.0,0.13778114318847656
15,21,15.0,0.1474609375
16,29,15.0,0.15707731246948242
17,19,15.0,0.16669845581054688
18,23,15.0,0.17612624168395996
19,17,15.0,0.18557429313659668
20,19,15.0,0.19510817527770996
21,20,15.0,8.913612365722656
22,20,15.0,17.733876705169678
23,17,15.0,28.33541250228882
24,14,14.0,39.3372163772583
25,17,14.0,51.22066688537598
26,11,11.0,61.17031526565552
27,25,11.0,71.09067416191101
28,21,11.0,82.88441205024719
29,25,11.0,95.15749263763428
30,25,11.0,106.19536113739014
31,20,11.0,120.28285884857178
32,23,11.0,133.19237065315247
33,21,11.0,144.65041375160217
34,23,11.0,159.23637747764587
35,25,11.0,183.1127223968506
36,17,11.0,200.60929417610168
37,31,11.0,215.81904101371765
38,25,11.0,235.46982765197754
39,17,11.0,252.71877145767212
40,28,11.0,268.34314608573914
41,20,11.0,287.0172402858734
42,18,11.0,300.61725544929504
43,19,11.0,315.8449137210846
44,16,11.0,330.44509959220886
45,21,11.0,344.8116898536682
46,21,11.0,358.14219641685486
47,22,11.0,372.0822892189026
48,21,11.0,386.12353348731995
49,33,11.0,400.4492325782776
50,16,11.0,422.0102663040161
51,24,11.0,441.2168550491333
52,24,11.0,461.5147647857666
53,18,11.0,481.5751430988312
54,28,11.0,503.54523754119873
55,15,11.0,513.0886659622192
56,23,11.0,522.6734809875488
57,16,11.0,532.2933125495911
58,14,11.0,543.3156387805939
59,16,11.0,553.2329912185669
60,18,11.0,563.4147756099701
61,21,11.0,573.8256080150604
62,18,11.0,584.4460604190826
63,16,11.0,595.1893658638
64,19,11.0,606.1763789653778
65,18,11.0,617.3154284954071
66,23,11.0,628.7264204025269
67,14,11.0,640.298965215683
68,14,11.0,652.0555160045624
69,24,11.0,663.9670767784119
70,26,11.0,676.1109886169434
71,15,11.0,689.744621515274
72,18,11.0,703.6014564037323
73,19,11.0,718.1255609989166
74,27,11.0,731.1264917850494
75,15,11.0,744.3361067771912
76,23,11.0,759.2039358615875
77,23,11.0,772.883303642273
78,15,11.0,786.7522683143616
79,22,11.0,800.9516687393188
80,19,11.0,815.2285935878754
81,21,11.0,829.8107199668884
82,19,11.0,844.6106395721436
83,21,11.0,859.8891184329987
84,25,11.0,877.7325692176819
85,19,11.0,893.5155692100525
86,25,11.0,909.5655317306519
87,22,11.0,925.8202848434448
88,27,11.0,943.7496037483215
89,18,11.0,961.9932744503021
90,26,11.0,980.4898059368134
91,20,11.0,999.3494815826416
92,18,11.0,1019.5551285743713
93,20,11.0,1038.8404977321625
94,23,11.0,1058.3878409862518
95,28,11.0,1079.5265982151031
96,20,11.0,1099.7482869625092
97,23,11.0,1121.254715681076
98,20,11.0,1143.1229968070984
99,24,11.0,1165.3179833889008
100,16,11.0,1187.8098313808441
101,21,11.0,1209.5432271957397
102,24,11.0,1232.946438550949
103,21,11.0,1256.725028038025
104,25,11.0,1280.7790684700012
105,22,11.0,1305.2459015846252
106,21,11.0,1330.1092302799225
107,18,11.0,1354.8633728027344
108,20,11.0,1379.9145832061768
109,22,11.0,1405.4531145095825
110,26,11.0,1431.8591692447662
111,28,11.0,1458.4149720668793
112,25,11.0,1485.2779178619385
113,15,11.0,1512.4234156608582
114,12,11.0,1539.9406089782715
115,14,11.0,1568.0523161888123
116,22,11.0,1596.2475135326385
117,19,11.0,1624.7428369522095
118,26,11.0,1653.6656630039215
119,21,11.0,1683.02956199646
120,23,11.0,1713.0898442268372
121,22,11.0,1743.4542815685272
122,23,11.0,1774.0051364898682
123,25,11.0,1804.8336160182953
124,24,11.0,1836.1030378341675
125,26,11.0,1868.088312625885
126,12,11.0,1900.5165753364563
127,20,11.0,1933.3377063274384
128,20,11.0,1966.6366364955902
129,20,11.0,2000.3613319396973
130,19,11.0,2034.6706726551056
131,20,11.0,2069.456125020981
132,23,11.0,2104.6746969223022
133,22,11.0,2140.257146835327
134,19,11.0,2176.2737431526184
135,28,11.0,2212.6213018894196
136,21,11.0,2249.6062614917755
137,18,11.0,2286.7588753700256
138,22,11.0,2324.53417468071
139,24,11.0,2362.7126610279083
140,27,11.0,2401.4729323387146
141,23,11.0,2440.5235662460327
142,19,11.0,2480.1035449504852
143,22,11.0,2520.162583589554
144,17,11.0,2560.8981993198395
145,19,11.0,2601.9678857326508
146,14,11.0,2643.4843146800995
147,18,11.0,2685.3636062145233
148,15,11.0,2727.8409934043884
149,19,11.0,2770.7387988567352
150,27,11.0,2814.036714553833
151,23,11.0,2857.8546726703644
152,11,11.0,2902.291815519333
153,18,11.0,2947.143720626831
154,14,11.0,2992.791768312454
155,21,11.0,3038.7863776683807
156,19,11.0,3086.0997080802917
157,18,11.0,3133.1821897029877
158,24,11.0,3181.0464713573456
159,16,11.0,3229.194326400757
160,20,11.0,3278.961166858673
161,22,11.0,3328.593890428543
162,22,11.0,3378.9673688411713
163,21,11.0,3429.6671068668365
164,22,11.0,3481.129102706909
165,15,11.0,3532.4939365386963
166,20,11.0,3584.5850422382355
167,18,11.0,3637.021637916565
168,24,11.0,3690.1754851341248
169,20,11.0,3743.7524666786194
170,16,11.0,3797.9260041713715
171,19,11.0,3852.740916967392
172,21,11.0,3908.1024668216705
173,19,11.0,3964.146664619446
174,27,11.0,4020.8132603168488
175,20,11.0,4077.8445665836334
176,22,11.0,4136.181193828583
177,23,11.0,4194.928514480591
178,23,11.0,4253.924763917923
179,16,11.0,4313.47517824173
180,13,11.0,4374.071930885315
181,19,11.0,4434.876378536224
