Eval Num,f(x),f(x*),Elapsed Time
1,21,21.0,0.009763717651367188
2,19,19.0,0.0194549560546875
3,18,18.0,0.028941631317138672
4,25,18.0,0.03845405578613281
5,21,18.0,0.04801774024963379
6,20,18.0,0.0575251579284668
7,29,18.0,0.06696724891662598
8,25,18.0,0.07647967338562012
9,15,15.0,0.08594012260437012
10,15,15.0,0.09536266326904297
11,20,15.0,0.10503220558166504
12,19,15.0,0.11466336250305176
13,21,15.0,0.1242215633392334
14,20,15.0,0.1338059902191162
15,21,15.0,0.14335179328918457
16,29,15.0,0.15294718742370605
17,19,15.0,0.1625080108642578
18,23,15.0,0.17207837104797363
19,17,15.0,0.1816411018371582
20,19,15.0,0.191148042678833
21,19,15.0,2.1809470653533936
22,22,15.0,4.173354864120483
23,23,15.0,6.185737133026123
24,19,15.0,8.194632053375244
25,21,15.0,9.969338417053223
26,23,15.0,11.396085262298584
27,15,15.0,12.70727801322937
28,22,15.0,13.98156189918518
29,17,15.0,15.246580839157104
30,22,15.0,16.529839277267456
31,22,15.0,17.799994468688965
32,27,15.0,19.130186319351196
33,17,15.0,20.480231046676636
34,22,15.0,21.851316213607788
35,24,15.0,23.13906240463257
36,21,15.0,24.404927968978882
37,19,15.0,25.726237297058105
38,23,15.0,26.978370666503906
39,19,15.0,28.238800764083862
40,20,15.0,29.485378980636597
41,23,15.0,30.704756021499634
42,20,15.0,31.86387276649475
43,24,15.0,33.00330972671509
44,18,15.0,34.121856689453125
45,23,15.0,35.318870306015015
46,19,15.0,36.525407552719116
47,22,15.0,37.69549226760864
48,12,12.0,38.93201565742493
49,16,12.0,40.20856332778931
50,19,12.0,41.485087156295776
51,19,12.0,42.74024534225464
52,21,12.0,44.03099322319031
53,22,12.0,45.34575963020325
54,19,12.0,46.69548225402832
55,15,12.0,47.967689514160156
56,19,12.0,49.2118866443634
57,18,12.0,50.531089544296265
58,22,12.0,51.81656551361084
59,16,12.0,53.15624189376831
60,17,12.0,54.52299356460571
61,18,12.0,55.839558362960815
62,21,12.0,57.227251052856445
63,19,12.0,58.555752992630005
64,12,12.0,59.929811239242554
65,26,12.0,61.42079949378967
66,23,12.0,62.97902822494507
67,26,12.0,64.64955282211304
68,18,12.0,66.438068151474
69,11,11.0,68.11603045463562
70,23,11.0,69.67700219154358
71,22,11.0,71.34221243858337
72,23,11.0,73.0932309627533
73,21,11.0,74.74699568748474
74,25,11.0,76.4386739730835
75,24,11.0,77.98536729812622
76,26,11.0,79.54668831825256
77,21,11.0,81.08136081695557
78,20,11.0,82.76325249671936
79,21,11.0,84.40890288352966
80,17,11.0,85.99238109588623
81,23,11.0,87.49066090583801
82,22,11.0,88.98178672790527
83,17,11.0,90.47526597976685
84,27,11.0,91.99428272247314
85,18,11.0,93.49168992042542
86,15,11.0,94.9798698425293
87,20,11.0,96.4531500339508
88,25,11.0,97.82474565505981
89,24,11.0,99.26166892051697
90,19,11.0,100.71336030960083
91,13,11.0,102.30921173095703
92,22,11.0,103.80652737617493
93,26,11.0,105.307461977005
94,12,11.0,106.79203200340271
95,23,11.0,108.25062918663025
96,21,11.0,109.75961756706238
97,21,11.0,111.12102818489075
98,14,11.0,112.7842230796814
99,16,11.0,114.5614869594574
100,23,11.0,116.36153054237366
101,22,11.0,118.20888638496399
