Eval Num,f(x),f(x*),Elapsed Time
1,18,18.0,0.009757041931152344
2,19,18.0,0.019449710845947266
3,18,18.0,0.02906036376953125
4,16,16.0,0.038706302642822266
5,27,16.0,0.04832887649536133
6,17,16.0,0.057964324951171875
7,24,16.0,0.06757354736328125
8,20,16.0,0.07720088958740234
9,20,16.0,0.08685708045959473
10,23,16.0,0.09646081924438477
11,19,16.0,0.10610103607177734
12,22,16.0,0.11572527885437012
13,17,16.0,0.12531638145446777
14,19,16.0,0.13492894172668457
15,27,16.0,0.14450955390930176
16,20,16.0,0.15413355827331543
17,22,16.0,0.16371583938598633
18,18,16.0,0.17332887649536133
19,19,16.0,0.18294715881347656
20,23,16.0,0.19258642196655273
21,17,16.0,2.971893310546875
22,19,16.0,5.816741704940796
23,24,16.0,8.693185329437256
24,24,16.0,11.562267303466797
25,16,16.0,14.42233395576477
26,22,16.0,17.2596652507782
27,24,16.0,20.089683532714844
28,21,16.0,22.94753861427307
29,19,16.0,25.77622675895691
30,12,12.0,28.605780839920044
31,15,12.0,31.44855308532715
32,14,12.0,34.27616858482361
33,20,12.0,37.17058873176575
34,12,12.0,39.98960542678833
35,12,12.0,42.85408091545105
36,12,12.0,45.69012928009033
37,16,12.0,48.522523164749146
38,18,12.0,51.33854603767395
39,19,12.0,54.18482279777527
40,15,12.0,56.99536871910095
41,12,12.0,59.851534843444824
42,16,12.0,62.70580434799194
43,12,12.0,65.52905559539795
44,12,12.0,68.36414957046509
45,20,12.0,71.20591688156128
46,22,12.0,74.04365110397339
47,12,12.0,76.91897559165955
48,14,12.0,79.77486753463745
49,20,12.0,82.63590693473816
50,18,12.0,85.47661662101746
51,18,12.0,88.2857711315155
52,16,12.0,91.17360138893127
53,20,12.0,94.07528257369995
54,15,12.0,96.94684147834778
55,12,12.0,99.7999620437622
56,18,12.0,102.64378571510315
57,14,12.0,105.50921869277954
58,18,12.0,108.37549257278442
59,21,12.0,111.2362859249115
60,22,12.0,114.09674334526062
61,20,12.0,116.96735215187073
62,18,12.0,119.85523247718811
63,15,12.0,122.70931196212769
64,21,12.0,125.56083989143372
65,14,12.0,128.42469573020935
66,25,12.0,131.23221397399902
67,16,12.0,134.13842678070068
68,20,12.0,136.9835684299469
69,14,12.0,139.8445839881897
70,26,12.0,142.67036509513855
71,22,12.0,145.49808740615845
72,17,12.0,148.34405612945557
73,18,12.0,151.23186421394348
74,23,12.0,154.0818212032318
75,20,12.0,156.91435599327087
76,20,12.0,159.72905206680298
77,17,12.0,162.56833624839783
78,26,12.0,165.42365884780884
79,18,12.0,168.35810780525208
80,25,12.0,171.25534439086914
81,12,12.0,174.0806188583374
82,17,12.0,176.9455599784851
83,21,12.0,179.78238010406494
84,24,12.0,182.6382236480713
85,20,12.0,185.49118328094482
86,19,12.0,188.36066055297852
87,23,12.0,191.28424310684204
88,19,12.0,194.11448669433594
89,16,12.0,196.9624264240265
90,25,12.0,199.77471899986267
91,15,12.0,202.6152184009552
92,17,12.0,205.44938325881958
93,22,12.0,208.28839254379272
94,27,12.0,211.1105351448059
95,21,12.0,213.94993567466736
96,17,12.0,216.8019483089447
97,27,12.0,219.65472722053528
98,22,12.0,222.51267504692078
99,25,12.0,225.38780999183655
100,22,12.0,228.22975730895996
101,21,12.0,231.0793104171753
102,15,12.0,233.9588098526001
103,18,12.0,236.8110954761505
104,14,12.0,239.67887806892395
105,19,12.0,242.55463862419128
106,16,12.0,245.41141080856323
107,16,12.0,248.29098987579346
108,23,12.0,251.16010761260986
109,13,12.0,253.9893229007721
110,20,12.0,256.83299708366394
111,24,12.0,259.6970224380493
112,13,12.0,262.57235074043274
113,19,12.0,265.38402009010315
114,20,12.0,268.2014043331146
115,23,12.0,271.06033730506897
116,20,12.0,273.9010009765625
117,26,12.0,276.73510670661926
118,29,12.0,279.5565345287323
119,21,12.0,282.46087670326233
120,21,12.0,285.3229730129242
121,20,12.0,288.21126532554626
122,25,12.0,291.07445430755615
123,20,12.0,293.9913957118988
124,25,12.0,296.85811471939087
125,19,12.0,299.69685077667236
126,17,12.0,302.56231331825256
127,20,12.0,305.4022378921509
128,19,12.0,308.262615442276
129,23,12.0,311.110636472702
130,17,12.0,313.97821521759033
131,27,12.0,316.8809208869934
132,21,12.0,319.7356610298157
133,22,12.0,322.5925769805908
134,13,12.0,325.204487323761
135,20,12.0,328.03946232795715
136,20,12.0,330.9092426300049
137,14,12.0,333.78035593032837
138,17,12.0,336.65081214904785
139,15,12.0,339.25254940986633
140,15,12.0,342.1162660121918
141,21,12.0,344.99098777770996
142,22,12.0,347.84431648254395
143,22,12.0,350.69760274887085
144,19,12.0,353.59001898765564
145,17,12.0,356.43647813796997
146,22,12.0,359.2776348590851
147,27,12.0,362.1411030292511
148,23,12.0,364.98517990112305
149,25,12.0,367.8825125694275
150,21,12.0,370.75573468208313
151,24,12.0,373.618221282959
152,18,12.0,376.5101945400238
153,23,12.0,379.34028339385986
154,24,12.0,382.2480082511902
155,19,12.0,385.13902378082275
156,26,12.0,388.0316791534424
157,30,12.0,390.9267530441284
158,19,12.0,393.7726185321808
159,18,12.0,396.40807938575745
160,20,12.0,399.2348737716675
161,23,12.0,402.11855363845825
162,22,12.0,404.9864058494568
163,18,12.0,407.6360740661621
164,14,12.0,410.52763056755066
165,28,12.0,413.3750057220459
166,23,12.0,416.2876160144806
167,19,12.0,419.15883111953735
168,16,12.0,422.0152921676636
169,26,12.0,424.91692066192627
170,16,12.0,427.7811071872711
171,15,12.0,430.6947708129883
172,21,12.0,433.5248601436615
173,17,12.0,436.3649146556854
174,25,12.0,439.26263308525085
175,17,12.0,442.1789035797119
176,17,12.0,445.03634238243103
177,17,12.0,447.81870770454407
178,28,12.0,450.680499792099
179,17,12.0,453.5852601528168
180,19,12.0,456.4742257595062
181,18,12.0,459.3777449131012
182,25,12.0,462.2387092113495
183,22,12.0,465.1098704338074
184,19,12.0,467.95600509643555
185,12,12.0,470.89708280563354
186,19,12.0,473.7495057582855
187,20,12.0,476.6047086715698
188,19,12.0,479.47296810150146
189,16,12.0,482.351891040802
190,18,12.0,485.24121379852295
191,22,12.0,488.1084415912628
192,22,12.0,490.9780776500702
193,24,12.0,493.8267548084259
194,25,12.0,496.68815636634827
195,21,12.0,499.6056218147278
196,19,12.0,502.50504541397095
197,26,12.0,505.37903809547424
198,20,12.0,508.2440059185028
199,12,12.0,511.10627150535583
200,29,12.0,514.013676404953
