Eval Num,f(x),f(x*),Elapsed Time
1,18,18.0,0.0068814754486083984
2,27,18.0,0.013392210006713867
3,21,18.0,0.019898176193237305
4,27,18.0,0.02640700340270996
5,14,14.0,0.03293299674987793
6,21,14.0,0.03944730758666992
7,19,14.0,0.04597163200378418
8,17,14.0,0.05248832702636719
9,18,14.0,0.058992624282836914
10,17,14.0,0.06552243232727051
11,20,14.0,0.07204198837280273
12,20,14.0,0.07855987548828125
13,27,14.0,0.08509111404418945
14,22,14.0,0.0915989875793457
15,24,14.0,0.09812021255493164
16,20,14.0,0.10464811325073242
17,30,14.0,0.11115813255310059
18,16,14.0,0.11765933036804199
19,22,14.0,0.1241459846496582
20,27,14.0,0.13065481185913086
21,22,14.0,0.13716793060302734
22,17,14.0,0.14367365837097168
23,26,14.0,0.15017414093017578
24,15,14.0,0.15667963027954102
25,20,14.0,0.16319537162780762
26,23,14.0,0.16968512535095215
27,22,14.0,0.1761946678161621
28,20,14.0,0.1826925277709961
29,16,14.0,0.189194917678833
30,21,14.0,0.19569921493530273
31,18,14.0,0.20220637321472168
32,17,14.0,0.20872235298156738
33,17,14.0,0.2152571678161621
34,19,14.0,0.22176623344421387
35,18,14.0,0.2282872200012207
36,24,14.0,0.23482418060302734
37,18,14.0,0.2413477897644043
38,16,14.0,0.2478485107421875
39,18,14.0,0.2543613910675049
40,17,14.0,0.26081347465515137
41,11,11.0,0.27405357360839844
42,22,11.0,0.2805476188659668
43,13,11.0,0.2870497703552246
44,16,11.0,0.2935631275177002
45,16,11.0,0.30008697509765625
46,21,11.0,0.3066086769104004
47,20,11.0,0.31311607360839844
48,16,11.0,0.31963443756103516
49,11,11.0,0.32624101638793945
50,24,11.0,0.3327605724334717
51,19,11.0,0.33928799629211426
52,29,11.0,0.34582066535949707
53,11,11.0,0.35233092308044434
54,13,11.0,0.3588392734527588
55,21,11.0,0.3653292655944824
56,15,11.0,0.3718383312225342
57,13,11.0,0.37837743759155273
58,28,11.0,0.3848717212677002
59,17,11.0,0.39139699935913086
60,19,11.0,0.39788818359375
61,15,11.0,0.4044339656829834
62,11,11.0,0.4109992980957031
63,25,11.0,0.4174926280975342
64,23,11.0,0.4239962100982666
65,11,11.0,0.43048739433288574
66,18,11.0,0.4369826316833496
67,18,11.0,0.4434785842895508
68,11,11.0,0.449962854385376
69,25,11.0,0.4564836025238037
70,11,11.0,0.46297764778137207
71,19,11.0,0.469496488571167
72,13,11.0,0.4760010242462158
73,11,11.0,0.48250317573547363
74,23,11.0,0.48899030685424805
75,4,4.0,0.4954979419708252
76,19,4.0,0.5020077228546143
77,27,4.0,0.5085091590881348
78,23,4.0,0.5149886608123779
79,20,4.0,0.5214958190917969
80,16,4.0,0.5279419422149658
81,17,4.0,0.5412569046020508
82,21,4.0,0.5477619171142578
83,21,4.0,0.5542871952056885
84,13,4.0,0.5607821941375732
85,21,4.0,0.567314863204956
86,25,4.0,0.5738070011138916
87,20,4.0,0.5803332328796387
88,19,4.0,0.5868391990661621
89,22,4.0,0.5933384895324707
90,21,4.0,0.5998427867889404
91,13,4.0,0.6063363552093506
92,26,4.0,0.6128344535827637
93,19,4.0,0.6193389892578125
94,21,4.0,0.6258664131164551
95,11,4.0,0.632392168045044
96,11,4.0,0.6388862133026123
97,11,4.0,0.6453933715820312
98,11,4.0,0.6518962383270264
99,13,4.0,0.6584646701812744
100,18,4.0,0.6649835109710693
101,21,4.0,0.671485424041748
102,13,4.0,0.6779634952545166
103,17,4.0,0.6844661235809326
104,11,4.0,0.6909630298614502
105,11,4.0,0.6974775791168213
106,11,4.0,0.7039909362792969
107,5,4.0,0.7104907035827637
108,11,4.0,0.7170038223266602
109,11,4.0,0.7235114574432373
110,11,4.0,0.7300095558166504
111,16,4.0,0.7365262508392334
112,13,4.0,0.743011474609375
113,13,4.0,0.7495203018188477
114,10,4.0,0.7560122013092041
115,17,4.0,0.7625246047973633
116,15,4.0,0.7690176963806152
117,17,4.0,0.7755000591278076
118,23,4.0,0.7819907665252686
119,25,4.0,0.788503885269165
120,25,4.0,0.7949397563934326
121,11,4.0,0.8083906173706055
122,13,4.0,0.8148841857910156
123,19,4.0,0.8214099407196045
124,22,4.0,0.827939510345459
125,11,4.0,0.8344681262969971
126,15,4.0,0.8409667015075684
127,13,4.0,0.8475122451782227
128,18,4.0,0.8540060520172119
129,16,4.0,0.8605344295501709
130,11,4.0,0.8670549392700195
131,17,4.0,0.8735945224761963
132,20,4.0,0.8801150321960449
133,11,4.0,0.8866350650787354
134,13,4.0,0.8931612968444824
135,17,4.0,0.8996686935424805
136,11,4.0,0.9061741828918457
137,11,4.0,0.9126851558685303
138,11,4.0,0.9191854000091553
139,21,4.0,0.9257214069366455
140,11,4.0,0.9322383403778076
141,19,4.0,0.9387526512145996
142,5,4.0,0.9452564716339111
143,13,4.0,0.9517643451690674
144,11,4.0,0.9582991600036621
145,11,4.0,0.9648232460021973
146,10,4.0,0.9713318347930908
147,11,4.0,0.9778449535369873
148,17,4.0,0.98439621925354
149,11,4.0,0.9909038543701172
150,11,4.0,0.9974632263183594
151,16,4.0,1.0039491653442383
152,21,4.0,1.0104408264160156
153,13,4.0,1.0169501304626465
154,18,4.0,1.0234472751617432
155,13,4.0,1.0299427509307861
156,11,4.0,1.0364480018615723
157,11,4.0,1.0429601669311523
158,11,4.0,1.049440860748291
159,11,4.0,1.0559453964233398
160,10,4.0,1.0623836517333984
161,11,4.0,1.0759036540985107
162,17,4.0,1.082406759262085
163,18,4.0,1.0889215469360352
164,19,4.0,1.0954222679138184
165,19,4.0,1.1019172668457031
166,11,4.0,1.1084058284759521
167,12,4.0,1.1149048805236816
168,19,4.0,1.1214110851287842
169,12,4.0,1.1279032230377197
170,14,4.0,1.1344120502471924
171,17,4.0,1.1409223079681396
172,5,4.0,1.1474263668060303
173,5,4.0,1.1539216041564941
174,10,4.0,1.1604321002960205
175,5,4.0,1.1669414043426514
176,5,4.0,1.1734187602996826
177,11,4.0,1.1799328327178955
178,13,4.0,1.1864354610443115
179,16,4.0,1.192948818206787
180,13,4.0,1.1994571685791016
181,5,4.0,1.205965280532837
182,4,4.0,1.2124521732330322
183,13,4.0,1.2189617156982422
184,18,4.0,1.2254743576049805
185,11,4.0,1.2320044040679932
186,11,4.0,1.2385361194610596
187,13,4.0,1.2450411319732666
188,19,4.0,1.2515673637390137
189,18,4.0,1.2580978870391846
190,11,4.0,1.264608383178711
191,11,4.0,1.271116018295288
192,17,4.0,1.2776598930358887
193,25,4.0,1.284144639968872
194,19,4.0,1.2906444072723389
195,4,4.0,1.297149658203125
196,18,4.0,1.3036491870880127
197,17,4.0,1.3101799488067627
198,10,4.0,1.316756010055542
199,13,4.0,1.3232781887054443
200,11,4.0,1.3297266960144043
