Eval Num,f(x),f(x*),Elapsed Time
1,18,18.0,0.009298563003540039
2,19,18.0,0.01888895034790039
3,18,18.0,0.0286252498626709
4,16,16.0,0.03835940361022949
5,27,16.0,0.04812502861022949
6,17,16.0,0.057854652404785156
7,24,16.0,0.06755208969116211
8,20,16.0,0.07714295387268066
9,20,16.0,0.08676028251647949
10,23,16.0,0.09647345542907715
11,19,16.0,0.10616588592529297
12,22,16.0,0.11583256721496582
13,17,16.0,0.12546205520629883
14,19,16.0,0.13504266738891602
15,27,16.0,0.14471030235290527
16,20,16.0,0.1544017791748047
17,22,16.0,0.1640622615814209
18,18,16.0,0.1737685203552246
19,19,16.0,0.1834700107574463
20,23,16.0,0.19309425354003906
21,29,16.0,5.380494117736816
22,25,16.0,10.666581630706787
23,17,16.0,16.179919242858887
24,21,16.0,21.832722425460815
25,27,16.0,27.70231294631958
26,21,16.0,33.606809854507446
27,17,16.0,39.563135623931885
28,25,16.0,45.64950895309448
29,18,16.0,51.816954374313354
30,15,15.0,58.15700387954712
31,19,15.0,64.63298606872559
32,16,15.0,71.2615954875946
33,18,15.0,77.98932814598083
34,24,15.0,84.88181614875793
35,26,15.0,91.7181978225708
36,20,15.0,98.74853277206421
37,26,15.0,105.72851705551147
38,21,15.0,112.85433197021484
39,18,15.0,120.064462184906
40,22,15.0,127.32337927818298
41,17,15.0,134.65349197387695
42,25,15.0,142.05570220947266
43,19,15.0,149.64033579826355
44,19,15.0,157.25943040847778
45,18,15.0,164.82434630393982
46,14,14.0,172.42671394348145
47,19,14.0,180.08689427375793
48,27,14.0,187.9011468887329
49,22,14.0,195.69887471199036
50,20,14.0,203.49042177200317
51,14,14.0,211.3195550441742
52,21,14.0,219.24833607673645
53,24,14.0,227.1687524318695
54,16,14.0,235.08182525634766
55,20,14.0,243.04243659973145
56,14,14.0,251.12298846244812
57,14,14.0,259.14054465293884
58,27,14.0,267.16134572029114
59,18,14.0,275.33005475997925
60,16,14.0,283.43274211883545
61,25,14.0,291.62348914146423
62,27,14.0,299.81561255455017
63,17,14.0,308.5317633152008
64,22,14.0,317.3028738498688
65,24,14.0,326.2470934391022
66,21,14.0,335.0501525402069
67,13,13.0,343.99189043045044
