Eval Num,f(x),f(x*),Elapsed Time
1,17,17.0,0.00982809066772461
2,21,17.0,0.019505739212036133
3,18,17.0,0.029191017150878906
4,21,17.0,0.03883481025695801
5,24,17.0,0.048505544662475586
6,21,17.0,0.058135271072387695
7,19,17.0,0.06775903701782227
8,20,17.0,0.0773782730102539
9,27,17.0,0.08700776100158691
10,21,17.0,0.09665846824645996
11,17,17.0,0.10630989074707031
12,19,17.0,0.1161201000213623
13,24,17.0,0.12581348419189453
14,19,17.0,0.1355457305908203
15,25,17.0,0.14522004127502441
16,24,17.0,0.15495848655700684
17,18,17.0,0.16456246376037598
18,17,17.0,0.1741318702697754
19,22,17.0,0.18375754356384277
20,26,17.0,0.19353580474853516
21,29,17.0,10.43906545639038
22,16,16.0,21.168547868728638
23,17,16.0,31.963915586471558
24,17,16.0,42.883601903915405
25,21,16.0,54.26283288002014
26,17,16.0,65.37445950508118
27,25,16.0,76.74569725990295
28,25,16.0,87.97901749610901
29,22,16.0,99.61317276954651
30,24,16.0,111.52024579048157
31,18,16.0,122.89095950126648
32,19,16.0,134.54084396362305
33,28,16.0,146.09044671058655
34,21,16.0,158.66222834587097
35,18,16.0,170.3961799144745
36,16,16.0,182.17550086975098
37,31,16.0,194.75348663330078
38,23,16.0,206.56992745399475
39,31,16.0,219.00950622558594
40,27,16.0,231.40572237968445
41,18,16.0,244.8299367427826
42,20,16.0,257.65304040908813
43,31,16.0,270.7527389526367
44,18,16.0,283.37921237945557
45,19,16.0,295.9325501918793
46,23,16.0,309.3320891857147
47,26,16.0,322.23668575286865
48,21,16.0,335.2096264362335
49,23,16.0,347.9294695854187
50,18,16.0,360.5816671848297
51,20,16.0,373.77499437332153
52,13,13.0,387.94932413101196
53,22,13.0,401.7547643184662
54,13,13.0,415.646826505661
55,15,13.0,430.1628873348236
56,18,13.0,444.86297702789307
57,19,13.0,458.5341114997864
58,22,13.0,471.8806266784668
59,22,13.0,485.0130090713501
60,18,13.0,498.4679572582245
61,21,13.0,512.2211074829102
62,19,13.0,524.933931350708
63,26,13.0,537.8565032482147
64,19,13.0,550.9435241222382
65,22,13.0,564.4178192615509
66,17,13.0,577.4412589073181
67,29,13.0,590.2595720291138
68,23,13.0,603.729053735733
69,21,13.0,616.9793975353241
70,31,13.0,630.0105385780334
71,19,13.0,643.1728496551514
72,20,13.0,655.9361310005188
73,17,13.0,669.9030709266663
74,27,13.0,683.5785553455353
75,22,13.0,696.7442510128021
76,23,13.0,710.0868501663208
77,20,13.0,723.512284040451
78,22,13.0,736.738450050354
79,18,13.0,749.9943404197693
80,16,13.0,763.4667711257935
81,21,13.0,776.9143402576447
82,21,13.0,790.3117897510529
83,17,13.0,803.8705878257751
84,18,13.0,816.8867688179016
85,21,13.0,830.5260570049286
86,17,13.0,844.2180023193359
87,21,13.0,857.753870010376
88,29,13.0,870.9827184677124
89,14,13.0,885.1380281448364
90,16,13.0,898.678653717041
91,18,13.0,912.0436367988586
92,21,13.0,925.3685855865479
93,27,13.0,939.6432678699493
94,21,13.0,953.009495973587
95,17,13.0,966.8140127658844
96,28,13.0,980.1347694396973
97,19,13.0,993.6650450229645
98,17,13.0,1008.1656668186188
