Eval Num,f(x),f(x*),Elapsed Time
1,13,13.0,0.009807348251342773
2,27,13.0,0.019387483596801758
3,22,13.0,0.028926372528076172
4,23,13.0,0.0384519100189209
5,14,13.0,0.048095703125
6,23,13.0,0.0577387809753418
7,19,13.0,0.06741595268249512
8,25,13.0,0.07703065872192383
9,26,13.0,0.08656096458435059
10,26,13.0,0.09606528282165527
11,24,13.0,0.1056509017944336
12,21,13.0,0.11513090133666992
13,18,13.0,0.12473201751708984
14,21,13.0,0.13446903228759766
15,26,13.0,0.14451980590820312
16,22,13.0,0.1546635627746582
17,23,13.0,0.1644120216369629
18,16,13.0,0.17419838905334473
19,27,13.0,0.18430185317993164
20,17,13.0,0.19437813758850098
21,28,13.0,7.089364290237427
22,22,13.0,14.090247392654419
23,25,13.0,21.20665192604065
24,23,13.0,28.42221689224243
25,20,13.0,35.749505281448364
26,17,13.0,43.17915678024292
27,22,13.0,50.682193756103516
28,22,13.0,58.40227150917053
29,25,13.0,66.2457504272461
30,28,13.0,74.19578719139099
31,18,13.0,82.227210521698
32,17,13.0,90.40996146202087
33,17,13.0,98.5488634109497
34,21,13.0,106.78595757484436
35,25,13.0,115.14972233772278
36,21,13.0,123.63199377059937
37,15,13.0,132.14276576042175
38,23,13.0,140.6938190460205
39,15,13.0,149.41485238075256
40,17,13.0,158.19702124595642
41,30,13.0,167.0415358543396
42,17,13.0,175.923686504364
43,23,13.0,184.85800528526306
44,16,13.0,193.8860855102539
45,26,13.0,202.9549150466919
46,15,13.0,212.0550036430359
47,20,13.0,221.20137405395508
48,17,13.0,230.3404245376587
49,26,13.0,239.34502387046814
50,22,13.0,248.44677805900574
51,20,13.0,257.58785128593445
52,16,13.0,266.7217285633087
53,13,13.0,275.9724943637848
54,17,13.0,285.2941303253174
55,20,13.0,294.64654660224915
56,16,13.0,303.90890312194824
57,22,13.0,313.13519501686096
58,23,13.0,322.3823959827423
59,23,13.0,331.6526234149933
60,16,13.0,341.0431399345398
61,20,13.0,351.4737763404846
62,15,13.0,362.0513913631439
63,17,13.0,372.7281014919281
64,18,13.0,383.3166205883026
65,18,13.0,393.7128851413727
66,16,13.0,404.41496205329895
67,13,13.0,415.186891078949
68,16,13.0,425.03950548171997
69,21,13.0,434.59982895851135
70,15,13.0,444.2632977962494
71,18,13.0,453.85473895072937
72,18,13.0,463.4342391490936
73,23,13.0,473.044070482254
74,21,13.0,482.7159206867218
75,19,13.0,492.379665851593
76,18,13.0,502.045063495636
77,25,13.0,511.6751024723053
78,22,13.0,521.4102396965027
79,24,13.0,531.1162807941437
80,15,13.0,540.8765201568604
81,18,13.0,550.5761559009552
82,16,13.0,560.3163702487946
83,23,13.0,570.0438373088837
84,18,13.0,579.817001581192
85,26,13.0,589.6400198936462
86,19,13.0,599.5475180149078
87,23,13.0,609.349939584732
88,27,13.0,619.1775465011597
89,22,13.0,628.9909539222717
90,15,13.0,638.9132180213928
91,27,13.0,648.8212289810181
92,19,13.0,658.7861738204956
93,20,13.0,668.7837183475494
94,13,13.0,678.7433435916901
95,17,13.0,688.6908783912659
96,25,13.0,698.5893468856812
97,25,13.0,708.4733424186707
98,19,13.0,718.4399929046631
99,13,13.0,728.3740644454956
100,14,13.0,738.3201570510864
101,23,13.0,748.3563764095306
102,21,13.0,758.3148851394653
103,17,13.0,768.2701952457428
104,24,13.0,778.2789125442505
105,18,13.0,788.2629425525665
106,20,13.0,798.244430065155
107,19,13.0,808.2439312934875
