Eval Num,f(x),f(x*),Elapsed Time
1,19,19.0,0.006791114807128906
2,20,19.0,0.014048576354980469
3,20,19.0,0.021378040313720703
4,19,19.0,0.028628110885620117
5,19,19.0,0.035900115966796875
6,18,18.0,0.0431673526763916
7,18,18.0,0.05040574073791504
8,18,18.0,0.057683706283569336
9,18,18.0,0.06493353843688965
10,18,18.0,0.07226943969726562
11,19,18.0,0.07952594757080078
12,18,18.0,0.08676815032958984
13,18,18.0,0.09402060508728027
14,18,18.0,0.10124659538269043
15,18,18.0,0.10848736763000488
16,18,18.0,0.11575984954833984
17,18,18.0,0.12298798561096191
18,18,18.0,0.13025808334350586
19,18,18.0,0.1375594139099121
20,19,18.0,0.1448202133178711
21,18,18.0,0.1520686149597168
22,18,18.0,0.15931987762451172
23,18,18.0,0.16657328605651855
24,21,18.0,0.17384004592895508
25,18,18.0,0.18111395835876465
26,20,18.0,0.18844890594482422
27,18,18.0,0.19569683074951172
28,18,18.0,0.20296740531921387
29,18,18.0,0.2102193832397461
30,18,18.0,0.21747827529907227
31,21,18.0,0.2247331142425537
32,18,18.0,0.23198318481445312
33,18,18.0,0.23931336402893066
34,19,18.0,0.24660038948059082
35,18,18.0,0.25384044647216797
36,21,18.0,0.26109790802001953
37,17,17.0,0.26846885681152344
38,17,17.0,0.27573680877685547
39,17,17.0,0.2829928398132324
40,12,12.0,0.29025816917419434
41,11,11.0,0.29753971099853516
42,11,11.0,0.30484580993652344
43,11,11.0,0.31211352348327637
44,11,11.0,0.319366455078125
45,13,11.0,0.32662105560302734
46,11,11.0,0.33387088775634766
47,13,11.0,0.3411221504211426
48,11,11.0,0.34838366508483887
49,11,11.0,0.35564160346984863
50,11,11.0,0.3628959655761719
51,11,11.0,0.3701443672180176
52,13,11.0,0.37738966941833496
53,11,11.0,0.3846590518951416
54,11,11.0,0.39191651344299316
55,13,11.0,0.39925074577331543
56,11,11.0,0.406508207321167
57,13,11.0,0.4137423038482666
58,13,11.0,0.4210648536682129
59,11,11.0,0.4283154010772705
60,15,11.0,0.4355795383453369
61,13,11.0,0.44281458854675293
62,11,11.0,0.4500586986541748
63,10,10.0,0.45739173889160156
64,14,10.0,0.4646329879760742
65,12,10.0,0.4718599319458008
66,12,10.0,0.4790973663330078
67,10,10.0,0.48633766174316406
68,23,10.0,0.49360227584838867
69,10,10.0,0.5008435249328613
70,19,10.0,0.5080933570861816
71,12,10.0,0.5153329372406006
72,23,10.0,0.5226638317108154
73,10,10.0,0.5298910140991211
74,14,10.0,0.5372223854064941
75,10,10.0,0.5444686412811279
76,12,10.0,0.5517089366912842
77,14,10.0,0.5589563846588135
78,16,10.0,0.5661969184875488
79,18,10.0,0.5735244750976562
80,23,10.0,0.5807712078094482
81,10,10.0,0.5880153179168701
82,10,10.0,0.59525465965271
83,10,10.0,0.6025159358978271
84,10,10.0,0.6097826957702637
