Eval Num,f(x),f(x*),Elapsed Time
1,18,18.0,0.015081167221069336
2,19,18.0,0.030243396759033203
3,17,17.0,0.04529929161071777
4,21,17.0,0.06043291091918945
5,18,17.0,0.07550501823425293
6,13,13.0,0.09056901931762695
7,25,13.0,0.10564923286437988
8,22,13.0,0.12072253227233887
9,24,13.0,0.13577532768249512
10,27,13.0,0.15083861351013184
11,20,13.0,0.1658802032470703
12,27,13.0,0.18096494674682617
13,20,13.0,0.19605803489685059
14,17,13.0,0.21111631393432617
15,20,13.0,0.22617053985595703
16,15,13.0,0.2412700653076172
17,25,13.0,0.25635313987731934
18,24,13.0,0.27142858505249023
19,19,13.0,0.28645896911621094
20,23,13.0,0.3015584945678711
21,19,13.0,0.31662917137145996
22,21,13.0,0.33173227310180664
23,24,13.0,0.34678125381469727
24,23,13.0,0.3618814945220947
25,26,13.0,0.376950740814209
26,23,13.0,0.392042875289917
27,17,13.0,0.40710973739624023
28,24,13.0,0.42218613624572754
29,23,13.0,0.43724703788757324
30,19,13.0,0.4523167610168457
31,21,13.0,0.46737241744995117
32,21,13.0,0.48246216773986816
33,25,13.0,0.4975748062133789
34,14,13.0,0.5126452445983887
35,19,13.0,0.527695894241333
36,18,13.0,0.542802095413208
37,24,13.0,0.5578570365905762
38,23,13.0,0.5729367733001709
39,12,12.0,0.5880293846130371
40,21,12.0,0.6031539440155029
41,11,11.0,0.6182115077972412
42,25,11.0,0.633298397064209
43,22,11.0,0.648390531539917
44,22,11.0,0.6635076999664307
45,25,11.0,0.678539514541626
46,22,11.0,0.6935737133026123
47,16,11.0,0.7086606025695801
48,21,11.0,0.723750114440918
49,20,11.0,0.7387776374816895
50,18,11.0,0.7538392543792725
51,19,11.0,0.7689008712768555
52,21,11.0,0.7840564250946045
53,22,11.0,0.7991054058074951
54,27,11.0,0.8141844272613525
55,22,11.0,0.8292818069458008
56,15,11.0,0.8443582057952881
57,13,11.0,0.8594555854797363
58,17,11.0,0.8745496273040771
59,24,11.0,0.8896183967590332
60,14,11.0,0.9047150611877441
61,16,11.0,0.9197814464569092
62,18,11.0,0.9348628520965576
63,20,11.0,0.9499413967132568
64,24,11.0,0.9650373458862305
65,18,11.0,0.9801063537597656
66,22,11.0,0.9951624870300293
67,22,11.0,1.010258674621582
68,16,11.0,1.0253021717071533
69,17,11.0,1.0403378009796143
70,16,11.0,1.0554101467132568
71,27,11.0,1.070631742477417
72,20,11.0,1.0862843990325928
73,17,11.0,1.1013545989990234
74,19,11.0,1.1164271831512451
75,14,11.0,1.1314682960510254
76,24,11.0,1.1465981006622314
77,12,11.0,1.1616668701171875
78,15,11.0,1.1767256259918213
79,21,11.0,1.191789150238037
80,19,11.0,1.206824541091919
81,23,11.0,1.221874713897705
82,16,11.0,1.2369205951690674
83,30,11.0,1.2519755363464355
84,20,11.0,1.2670238018035889
85,18,11.0,1.2820684909820557
86,19,11.0,1.2971205711364746
87,19,11.0,1.3121554851531982
88,21,11.0,1.3272335529327393
89,24,11.0,1.3422906398773193
90,19,11.0,1.3573389053344727
91,19,11.0,1.3724040985107422
92,22,11.0,1.387516975402832
93,19,11.0,1.402585744857788
94,24,11.0,1.41764235496521
95,18,11.0,1.4326512813568115
96,23,11.0,1.4477081298828125
97,19,11.0,1.4627995491027832
98,10,10.0,1.4778697490692139
99,14,10.0,1.4928936958312988
100,19,10.0,1.5079829692840576
101,30,10.0,1.5230484008789062
102,23,10.0,1.538130283355713
103,24,10.0,1.553149938583374
104,20,10.0,1.5682008266448975
105,20,10.0,1.5832266807556152
106,20,10.0,1.5982666015625
107,18,10.0,1.613316297531128
108,27,10.0,1.628460168838501
109,24,10.0,1.6435272693634033
110,27,10.0,1.6585755348205566
111,19,10.0,1.6736321449279785
112,18,10.0,1.688716173171997
113,15,10.0,1.7037732601165771
114,22,10.0,1.7188537120819092
115,26,10.0,1.7339308261871338
116,25,10.0,1.7490224838256836
117,21,10.0,1.7640929222106934
118,27,10.0,1.7791938781738281
119,17,10.0,1.7942471504211426
120,24,10.0,1.8093774318695068
121,23,10.0,1.8245038986206055
122,19,10.0,1.8395757675170898
123,20,10.0,1.8546302318572998
124,18,10.0,1.8697028160095215
125,15,10.0,1.8847730159759521
126,19,10.0,1.899855613708496
127,18,10.0,1.9149260520935059
128,17,10.0,1.930030107498169
129,15,10.0,1.9450726509094238
130,19,10.0,1.9601118564605713
131,17,10.0,1.9751384258270264
132,19,10.0,1.9902281761169434
133,17,10.0,2.0056803226470947
134,19,10.0,2.020702600479126
135,27,10.0,2.035754680633545
136,26,10.0,2.050837755203247
137,16,10.0,2.0658743381500244
138,18,10.0,2.0809409618377686
139,19,10.0,2.096005439758301
140,16,10.0,2.1110849380493164
141,27,10.0,2.126147747039795
142,26,10.0,2.1412599086761475
143,21,10.0,2.156291961669922
144,15,10.0,2.1713709831237793
145,22,10.0,2.186429738998413
146,17,10.0,2.201490640640259
147,23,10.0,2.2165956497192383
148,23,10.0,2.2316765785217285
149,21,10.0,2.246729612350464
150,20,10.0,2.261789321899414
151,21,10.0,2.276859998703003
152,19,10.0,2.2918965816497803
153,26,10.0,2.3069591522216797
154,26,10.0,2.3220174312591553
155,25,10.0,2.3370838165283203
156,18,10.0,2.352135181427002
157,28,10.0,2.3671631813049316
158,16,10.0,2.3821957111358643
159,20,10.0,2.3972456455230713
160,19,10.0,2.4122955799102783
161,22,10.0,2.4273056983947754
162,12,10.0,2.4423604011535645
163,23,10.0,2.4574127197265625
164,20,10.0,2.472476005554199
165,23,10.0,2.4875197410583496
166,20,10.0,2.502587080001831
167,24,10.0,2.517655372619629
168,19,10.0,2.5327341556549072
169,16,10.0,2.5478127002716064
170,21,10.0,2.5629072189331055
171,22,10.0,2.577981472015381
172,23,10.0,2.5930426120758057
173,17,10.0,2.6081013679504395
174,27,10.0,2.623201608657837
175,24,10.0,2.6382975578308105
176,18,10.0,2.6533875465393066
177,17,10.0,2.668522834777832
178,16,10.0,2.6835832595825195
179,22,10.0,2.6986913681030273
180,19,10.0,2.713766574859619
181,25,10.0,2.728795289993286
182,26,10.0,2.743866443634033
183,20,10.0,2.7590036392211914
184,20,10.0,2.774057626724243
185,20,10.0,2.7891082763671875
186,19,10.0,2.8041746616363525
187,19,10.0,2.8192408084869385
188,24,10.0,2.834306240081787
189,19,10.0,2.849332809448242
190,21,10.0,2.8643782138824463
191,21,10.0,2.8794353008270264
192,17,10.0,2.8945140838623047
